Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Tuesday 1 August 2023,00:00,Clear,30°,7,19%,1016 hPa
Tuesday 1 August 2023,00:30,Clear,29°,6,22%,1016 hPa
Tuesday 1 August 2023,01:00,Clear,27°,2,24%,1016 hPa
Tuesday 1 August 2023,01:30,Clear,27°,2,24%,1016 hPa
Tuesday 1 August 2023,02:00,Clear,26°,4,26%,1016 hPa
Tuesday 1 August 2023,02:30,Clear,26°,4,24%,1016 hPa
Tuesday 1 August 2023,03:00,Clear,24°,4,29%,1016 hPa
Tuesday 1 August 2023,03:30,Clear,24°,4,29%,1016 hPa
Tuesday 1 August 2023,04:00,Clear,23°,6,33%,1016 hPa
Tuesday 1 August 2023,04:30,Clear,24°,7,31%,1016 hPa
Tuesday 1 August 2023,05:00,Clear,23°,9,31%,1016 hPa
Tuesday 1 August 2023,05:30,Clear,22°,6,35%,1016 hPa
Tuesday 1 August 2023,06:00,Clear,21°,6,35%,1016 hPa
Tuesday 1 August 2023,06:30,Clear,21°,Calm,38%,1017 hPa
Tuesday 1 August 2023,07:00,Clear,22°,4,35%,1017 hPa
Tuesday 1 August 2023,07:30,Clear,21°,6,40%,1017 hPa
Tuesday 1 August 2023,08:00,Clear,22°,6,35%,1017 hPa
Tuesday 1 August 2023,08:30,Clear,24°,2,34%,1017 hPa
Tuesday 1 August 2023,09:00,Clear,25°,2,30%,1017 hPa
Tuesday 1 August 2023,09:30,Clear,26°,4,30%,1017 hPa
Tuesday 1 August 2023,10:00,Clear,27°,6,28%,1017 hPa
Tuesday 1 August 2023,10:30,Clear,28°,6,26%,1017 hPa
Tuesday 1 August 2023,11:00,Clear,29°,6,25%,1017 hPa
Tuesday 1 August 2023,11:30,Clear,30°,6,24%,1017 hPa
Tuesday 1 August 2023,12:00,Clear,30°,7,>,26 24% 1017 hPa
Tuesday 1 August 2023,12:30,Clear,31°,9,21%,1017 hPa
Tuesday 1 August 2023,13:00,Clear,31°,7,19%,1017 hPa
Tuesday 1 August 2023,13:30,Clear,32°,6,20%,1016 hPa
Tuesday 1 August 2023,14:00,Clear,33°,11,16%,1016 hPa
Tuesday 1 August 2023,14:30,Clear,35°,7,13%,1016 hPa
Tuesday 1 August 2023,15:00,Clear,34°,7,15%,1016 hPa
Tuesday 1 August 2023,15:30,Clear,35°,6,14%,1015 hPa
Tuesday 1 August 2023,16:00,Clear,34°,7,16%,1015 hPa
Tuesday 1 August 2023,16:30,Clear,37°,6,14%,1015 hPa
Tuesday 1 August 2023,17:00,Clear,36°,4,15%,1014 hPa
Tuesday 1 August 2023,17:30,Clear,36°,7,>,26 15% 1014 hPa
Tuesday 1 August 2023,18:00,Clear,37°,7,13%,1014 hPa
Tuesday 1 August 2023,18:30,Clear,37°,6,14%,1014 hPa
Tuesday 1 August 2023,19:00,Clear,36°,9,15%,1013 hPa
Tuesday 1 August 2023,19:30,Clear,37°,2,14%,1013 hPa
Tuesday 1 August 2023,20:00,Clear,37°,2,14%,1013 hPa
Tuesday 1 August 2023,20:30,Clear,36°,2,15%,1013 hPa
Tuesday 1 August 2023,21:00,Clear,35°,6,17%,1013 hPa
Tuesday 1 August 2023,21:30,Clear,33°,2,20%,1013 hPa
Tuesday 1 August 2023,22:00,Clear,32°,6,23%,1014 hPa
Tuesday 1 August 2023,22:30,Clear,32°,7,23%,1014 hPa
Tuesday 1 August 2023,23:00,Clear,31°,6,24%,1014 hPa
Tuesday 1 August 2023,23:30,Clear,30°,Calm,25%,1014 hPa
Wednesday 2 August 2023,00:00,Clear,29°,4,27%,1015 hPa
Wednesday 2 August 2023,00:30,Clear,28°,2,28%,1015 hPa
Wednesday 2 August 2023,01:00,Clear,28°,4,28%,1014 hPa
Wednesday 2 August 2023,01:30,Clear,27°,2,30%,1014 hPa
Wednesday 2 August 2023,02:00,Clear,26°,2,32%,1014 hPa
Wednesday 2 August 2023,02:30,Clear,25°,6,34%,1014 hPa
Wednesday 2 August 2023,03:00,Clear,25°,2,34%,1014 hPa
Wednesday 2 August 2023,03:30,Clear,24°,6,36%,1014 hPa
Wednesday 2 August 2023,04:00,Clear,24°,2,36%,1014 hPa
Wednesday 2 August 2023,04:30,Clear,22°,Calm,41%,1014 hPa
Wednesday 2 August 2023,05:00,Clear,22°,7,41%,1014 hPa
Wednesday 2 August 2023,05:30,Clear,22°,6,43%,1014 hPa
Wednesday 2 August 2023,06:00,Clear,21°,4,43%,1014 hPa
Wednesday 2 August 2023,06:30,Clear,21°,6,43%,1014 hPa
Wednesday 2 August 2023,07:00,Clear,20°,6,49%,1014 hPa
Wednesday 2 August 2023,07:30,Clear,19°,2,52%,1014 hPa
Wednesday 2 August 2023,08:00,Clear,21°,4,46%,1014 hPa
Wednesday 2 August 2023,08:30,Clear,24°,Calm,38%,1014 hPa
Wednesday 2 August 2023,09:00,Clear,24°,4,38%,1014 hPa
Wednesday 2 August 2023,09:30,Clear,26°,6,34%,1014 hPa
Wednesday 2 August 2023,10:00,Clear,27°,4,32%,1014 hPa
Wednesday 2 August 2023,10:30,Clear,28°,6,32%,1014 hPa
Wednesday 2 August 2023,11:00,Clear,29°,2,31%,1014 hPa
Wednesday 2 August 2023,11:30,Clear,31°,4,31%,1014 hPa
Wednesday 2 August 2023,12:00,Clear,31°,13,>,35 33% 1014 hPa
Wednesday 2 August 2023,12:30,Clear,32°,9,>,32 34% 1013 hPa
Wednesday 2 August 2023,13:00,Clear,32°,11,31%,1013 hPa
Wednesday 2 August 2023,13:30,Clear,34°,11,>,33 28% 1013 hPa
Wednesday 2 August 2023,14:00,Clear,35°,15,23%,1012 hPa
Wednesday 2 August 2023,14:30,Clear,36°,22,18%,1012 hPa
Wednesday 2 August 2023,15:00,Clear,36°,19,>,39 16% 1012 hPa
Wednesday 2 August 2023,15:30,Clear,35°,24,>,46 16% 1012 hPa
Wednesday 2 August 2023,16:00,Clear,36°,26,15%,1012 hPa
Wednesday 2 August 2023,16:30,Clear,35°,20,22%,1011 hPa
Wednesday 2 August 2023,17:00,Clear,36°,22,19%,1011 hPa
Wednesday 2 August 2023,17:30,Clear,36°,24,19%,1011 hPa
Wednesday 2 August 2023,18:00,Clear,36°,24,18%,1011 hPa
Wednesday 2 August 2023,18:30,Clear,36°,24,19%,1011 hPa
Wednesday 2 August 2023,19:00,Clear,36°,26,21%,1011 hPa
Wednesday 2 August 2023,19:30,Clear,35°,28,22%,1011 hPa
Wednesday 2 August 2023,20:00,Clear,35°,32,22%,1011 hPa
Wednesday 2 August 2023,20:30,Clear,34°,30,23%,1011 hPa
Wednesday 2 August 2023,21:00,Clear,32°,33,28%,1011 hPa
Wednesday 2 August 2023,21:30,Clear,32°,30,29%,1012 hPa
Wednesday 2 August 2023,22:00,Clear,31°,26,33%,1012 hPa
Wednesday 2 August 2023,22:30,Clear,30°,24,38%,1012 hPa
Wednesday 2 August 2023,23:00,Clear,30°,20,38%,1013 hPa
Wednesday 2 August 2023,23:30,Clear,29°,17,40%,1013 hPa
Thursday 3 August 2023,00:00,Clear,29°,19,40%,1013 hPa
Thursday 3 August 2023,00:30,Clear,28°,17,45%,1013 hPa
Thursday 3 August 2023,01:00,Clear,28°,15,45%,1014 hPa
Thursday 3 August 2023,01:30,Clear,27°,22,48%,1014 hPa
