Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Saturday 1 July 2023,00:00,Clear,23°,20,41%,1020 hPa
Saturday 1 July 2023,00:30,Clear,23°,17,41%,1020 hPa
Saturday 1 July 2023,01:00,Clear,22°,11,43%,1020 hPa
Saturday 1 July 2023,01:30,Clear,22°,13,43%,1020 hPa
Saturday 1 July 2023,02:00,Clear,21°,9,46%,1020 hPa
Saturday 1 July 2023,02:30,Clear,21°,6,46%,1020 hPa
Saturday 1 July 2023,03:00,Clear,20°,4,49%,1020 hPa
Saturday 1 July 2023,03:30,Clear,20°,7,49%,1019 hPa
Saturday 1 July 2023,04:00,Clear,19°,6,52%,1019 hPa
Saturday 1 July 2023,04:30,Clear,19°,6,52%,1020 hPa
Saturday 1 July 2023,05:00,Clear,19°,6,52%,1019 hPa
Saturday 1 July 2023,05:30,Clear,18°,4,56%,1019 hPa
Saturday 1 July 2023,06:00,Clear,18°,4,56%,1020 hPa
Saturday 1 July 2023,06:30,Clear,18°,2,56%,1020 hPa
Saturday 1 July 2023,07:00,Clear,17°,Calm,59%,1020 hPa
Saturday 1 July 2023,07:30,Clear,18°,Calm,59%,1020 hPa
Saturday 1 July 2023,08:00,Clear,19°,2,56%,1020 hPa
Saturday 1 July 2023,08:30,Clear,20°,Calm,53%,1020 hPa
Saturday 1 July 2023,09:00,Clear,21°,4,53%,1021 hPa
Saturday 1 July 2023,09:30,Clear,22°,6,50%,1021 hPa
Saturday 1 July 2023,10:00,Clear,23°,6,47%,1021 hPa
Saturday 1 July 2023,10:30,Clear,24°,4,44%,1021 hPa
Saturday 1 July 2023,11:00,Clear,24°,9,47%,1020 hPa
Saturday 1 July 2023,11:30,Clear,25°,7,44%,1020 hPa
Saturday 1 July 2023,12:00,Clear,26°,11,42%,1020 hPa
Saturday 1 July 2023,12:30,Clear,27°,7,39%,1020 hPa
Saturday 1 July 2023,13:00,Clear,27°,6,39%,1019 hPa
Saturday 1 July 2023,13:30,Clear,29°,11,35%,1019 hPa
Saturday 1 July 2023,14:00,Clear,29°,9,35%,1019 hPa
Saturday 1 July 2023,14:30,Clear,29°,11,35%,1019 hPa
Saturday 1 July 2023,15:00,Clear,30°,13,33%,1018 hPa
Saturday 1 July 2023,15:30,Clear,31°,11,29%,1018 hPa
Saturday 1 July 2023,16:00,Fair,32°,9,28%,1018 hPa
Saturday 1 July 2023,16:30,Fair,32°,9,28%,1017 hPa
Saturday 1 July 2023,17:00,Fair,32°,9,28%,1017 hPa
Saturday 1 July 2023,17:30,Fair,32°,6,28%,1017 hPa
Saturday 1 July 2023,18:00,Fair,32°,7,28%,1016 hPa
Saturday 1 July 2023,18:30,Fair,33°,7,26%,1016 hPa
Saturday 1 July 2023,19:00,Fair,33°,13,26%,1016 hPa
Saturday 1 July 2023,19:30,Fair,33°,7,26%,1016 hPa
Saturday 1 July 2023,20:00,Fair,33°,7,26%,1016 hPa
Saturday 1 July 2023,20:30,Fair,34°,6,25%,1016 hPa
Saturday 1 July 2023,21:00,Fair,32°,7,28%,1016 hPa
Saturday 1 July 2023,21:30,Fair,32°,7,28%,1016 hPa
Saturday 1 July 2023,22:00,Clear,31°,11,31%,1016 hPa
Saturday 1 July 2023,22:30,Clear,31°,13,31%,1017 hPa
Saturday 1 July 2023,23:00,Clear,29°,9,35%,1017 hPa
Saturday 1 July 2023,23:30,Clear,29°,9,35%,1017 hPa
Sunday 2 July 2023,00:00,Clear,28°,13,37%,1018 hPa
Sunday 2 July 2023,00:30,Clear,27°,13,45%,1018 hPa
Sunday 2 July 2023,01:00,Clear,26°,15,48%,1018 hPa
Sunday 2 July 2023,01:30,Clear,25°,13,47%,1018 hPa
Sunday 2 July 2023,02:00,Clear,25°,11,47%,1018 hPa
Sunday 2 July 2023,02:30,Clear,24°,7,50%,1018 hPa
Sunday 2 July 2023,03:00,Clear,24°,9,50%,1018 hPa
Sunday 2 July 2023,03:30,Clear,23°,15,53%,1019 hPa
Sunday 2 July 2023,04:00,Clear,23°,9,53%,1019 hPa
Sunday 2 July 2023,04:30,Clear,23°,9,53%,1019 hPa
Sunday 2 July 2023,05:00,Clear,22°,9,57%,1019 hPa
Sunday 2 July 2023,05:30,Clear,22°,9,57%,1019 hPa
Sunday 2 July 2023,06:00,Clear,21°,11,60%,1019 hPa
Sunday 2 July 2023,06:30,Clear,21°,13,60%,1019 hPa
Sunday 2 July 2023,07:00,Clear,21°,11,60%,1019 hPa
Sunday 2 July 2023,07:30,Clear,21°,13,60%,1019 hPa
Sunday 2 July 2023,08:00,Clear,21°,13,60%,1019 hPa
Sunday 2 July 2023,08:30,Clear,22°,11,57%,1019 hPa
Sunday 2 July 2023,09:00,Clear,22°,13,57%,1019 hPa
Sunday 2 July 2023,09:30,Clear,23°,11,53%,1019 hPa
Sunday 2 July 2023,10:00,Clear,24°,11,50%,1019 hPa
Sunday 2 July 2023,10:30,Clear,26°,9,48%,1019 hPa
Sunday 2 July 2023,11:00,Clear,27°,7,45%,1019 hPa
Sunday 2 July 2023,11:30,Clear,29°,7,43%,1019 hPa
Sunday 2 July 2023,12:00,Clear,30°,4,38%,1019 hPa
Sunday 2 July 2023,12:30,Clear,30°,7,40%,1018 hPa
Sunday 2 July 2023,13:00,Clear,30°,9,40%,1018 hPa
Sunday 2 July 2023,13:30,Clear,32°,6,34%,1018 hPa
Sunday 2 July 2023,14:00,Clear,32°,4,34%,1018 hPa
Sunday 2 July 2023,14:30,Clear,33°,7,30%,1018 hPa
Sunday 2 July 2023,15:00,Clear,34°,7,28%,1017 hPa
Sunday 2 July 2023,15:30,Fair,33°,7,28%,1017 hPa
Sunday 2 July 2023,16:00,Fair,34°,11,26%,1017 hPa
Sunday 2 July 2023,16:30,Fair,34°,9,23%,1016 hPa
Sunday 2 July 2023,17:00,Fair,35°,11,23%,1016 hPa
Sunday 2 July 2023,17:30,Fair,35°,7,>,28 23% 1016 hPa
Sunday 2 July 2023,18:00,Fair,36°,13,22%,1016 hPa
Sunday 2 July 2023,18:30,Fair,35°,6,23%,1016 hPa
Sunday 2 July 2023,19:00,Fair,33°,13,30%,1016 hPa
Sunday 2 July 2023,19:30,Fair,33°,17,30%,1016 hPa
Sunday 2 July 2023,20:00,Fair,33°,11,30%,1016 hPa
Sunday 2 July 2023,20:30,Fair,32°,11,31%,1015 hPa
Sunday 2 July 2023,21:00,Clear,32°,7,31%,1015 hPa
Sunday 2 July 2023,21:30,Clear,31°,6,33%,1016 hPa
Sunday 2 July 2023,22:00,Clear,30°,6,35%,1016 hPa
Sunday 2 July 2023,22:30,Clear,29°,6,40%,1016 hPa
Sunday 2 July 2023,23:00,Clear,29°,6,40%,1016 hPa
Sunday 2 July 2023,23:30,Clear,28°,6,40%,1017 hPa
Monday 3 July 2023,00:00,Clear,28°,11,45%,1017 hPa
Monday 3 July 2023,00:30,Clear,27°,6,48%,1017 hPa
Monday 3 July 2023,01:00,Clear,27°,4,48%,1017 hPa
Monday 3 July 2023,01:30,Clear,26°,7,51%,1017 hPa
Monday 3 July 2023,02:00,Clear,26°,7,51%,1017 hPa
Monday 3 July 2023,02:30,Clear,25°,4,54%,1017 hPa
Monday 3 July 2023,03:00,Clear,24°,9,57%,1017 hPa
Monday 3 July 2023,03:30,Clear,24°,9,57%,1017 hPa
Monday 3 July 2023,04:00,Clear,23°,6,61%,1017 hPa
Monday 3 July 2023,04:30,Clear,23°,4,61%,1017 hPa
Monday 3 July 2023,05:00,Clear,23°,6,61%,1017 hPa
Monday 3 July 2023,05:30,Clear,23°,9,61%,1017 hPa
Monday 3 July 2023,06:00,Clear,22°,6,64%,1017 hPa
Monday 3 July 2023,06:30,Clear,22°,4,64%,1017 hPa
Monday 3 July 2023,07:00,Clear,22°,2,64%,1017 hPa
Monday 3 July 2023,07:30,Clear,22°,Calm,64%,1017 hPa
Monday 3 July 2023,08:00,Clear,22°,2,64%,1017 hPa
Monday 3 July 2023,08:30,Clear,23°,6,61%,1017 hPa
Monday 3 July 2023,09:00,Clear,24°,4,57%,1018 hPa
Monday 3 July 2023,09:30,Clear,25°,2,54%,1018 hPa
Monday 3 July 2023,10:00,Clear,26°,4,54%,1018 hPa
Monday 3 July 2023,10:30,Clear,28°,2,48%,1017 hPa
Monday 3 July 2023,11:00,Clear,29°,6,45%,1017 hPa
Monday 3 July 2023,11:30,Fair,29°,7,45%,1017 hPa
Monday 3 July 2023,12:00,Fair,30°,7,43%,1017 hPa
Monday 3 July 2023,12:30,Fair,31°,4,40%,1017 hPa
Monday 3 July 2023,13:00,Fair,32°,9,36%,1017 hPa
Monday 3 July 2023,13:30,Fair,34°,15,32%,1017 hPa
Monday 3 July 2023,14:00,Fair,34°,15,30%,1016 hPa
Monday 3 July 2023,14:30,Fair,35°,22,>,43 27% 1016 hPa
Monday 3 July 2023,15:00,Partly Cloudy,36°,28,24%,1016 hPa
Monday 3 July 2023,15:30,Fair,36°,32,>,52 22% 1016 hPa
Monday 3 July 2023,16:00,Fair,31°,26,36%,1016 hPa
Monday 3 July 2023,16:30,Fair,31°,17,36%,1016 hPa
Monday 3 July 2023,17:00,Fair,34°,11,30%,1016 hPa
Monday 3 July 2023,17:30,Fair,34°,7,28%,1015 hPa
Monday 3 July 2023,18:00,Fair,34°,17,30%,1015 hPa
Monday 3 July 2023,18:30,Fair,34°,7,28%,1015 hPa
Monday 3 July 2023,19:00,Fair,34°,7,28%,1015 hPa
Monday 3 July 2023,19:30,Fair,34°,9,30%,1015 hPa
Monday 3 July 2023,20:00,Fair,33°,7,34%,1015 hPa
Monday 3 July 2023,20:30,Clear,34°,22,30%,1015 hPa
Monday 3 July 2023,21:00,Clear,32°,11,38%,1015 hPa
Monday 3 July 2023,21:30,Clear,30°,13,43%,1015 hPa
Monday 3 July 2023,22:00,Clear,29°,13,45%,1016 hPa
Monday 3 July 2023,22:30,Clear,29°,4,45%,1016 hPa
Monday 3 July 2023,23:00,Clear,29°,7,43%,1016 hPa
Monday 3 July 2023,23:30,Clear,27°,2,51%,1016 hPa
Tuesday 4 July 2023,00:00,Clear,27°,4,45%,1016 hPa
Tuesday 4 July 2023,00:30,Clear,26°,9,54%,1016 hPa
Tuesday 4 July 2023,01:00,Clear,25°,7,61%,1017 hPa
Tuesday 4 July 2023,01:30,Clear,24°,Calm,61%,1017 hPa
Tuesday 4 July 2023,02:00,Clear,24°,4,61%,1017 hPa
Tuesday 4 July 2023,02:30,Clear,23°,4,65%,1017 hPa
Tuesday 4 July 2023,03:00,Clear,23°,7,69%,1017 hPa
Tuesday 4 July 2023,03:30,Clear,23°,9,69%,1017 hPa
Tuesday 4 July 2023,04:00,Clear,22°,7,69%,1017 hPa
Tuesday 4 July 2023,04:30,Clear,22°,6,73%,1017 hPa
Tuesday 4 July 2023,05:00,Clear,21°,4,73%,1017 hPa
Tuesday 4 July 2023,05:30,Clear,21°,6,73%,1017 hPa
Tuesday 4 July 2023,06:00,Clear,20°,4,78%,1017 hPa
Tuesday 4 July 2023,06:30,Clear,20°,4,78%,1017 hPa
Tuesday 4 July 2023,07:00,Clear,20°,4,78%,1017 hPa
Tuesday 4 July 2023,07:30,Clear,20°,7,78%,1017 hPa
Tuesday 4 July 2023,08:00,Clear,20°,6,78%,1018 hPa
Tuesday 4 July 2023,08:30,Clear,22°,4,69%,1018 hPa
Tuesday 4 July 2023,09:00,Clear,23°,4,69%,1018 hPa
Tuesday 4 July 2023,09:30,Clear,24°,4,65%,1018 hPa
Tuesday 4 July 2023,10:00,Clear,25°,4,61%,1018 hPa
Tuesday 4 July 2023,10:30,Clear,26°,6,58%,1018 hPa
Tuesday 4 July 2023,11:00,Clear,27°,4,54%,1018 hPa
Tuesday 4 July 2023,11:30,Clear,28°,4,45%,1018 hPa
Tuesday 4 July 2023,12:00,Clear,29°,6,43%,1018 hPa
Tuesday 4 July 2023,12:30,Clear,30°,7,38%,1018 hPa
Tuesday 4 July 2023,13:00,Fair,32°,13,28%,1018 hPa
Tuesday 4 July 2023,13:30,Fair,32°,9,28%,1017 hPa
Tuesday 4 July 2023,14:00,Fair,32°,7,24%,1017 hPa
Tuesday 4 July 2023,14:30,Fair,33°,15,23%,1017 hPa
Tuesday 4 July 2023,15:00,Fair,34°,11,20%,1017 hPa
Tuesday 4 July 2023,15:30,Fair,35°,19,19%,1017 hPa
Tuesday 4 July 2023,16:00,Fair,36°,20,11%,1016 hPa
Tuesday 4 July 2023,16:30,Fair,34°,17,>,37 12% 1016 hPa
Tuesday 4 July 2023,17:00,Fair,35°,15,>,35 13% 1016 hPa
Tuesday 4 July 2023,17:30,Fair,34°,17,13%,1016 hPa
Tuesday 4 July 2023,18:00,Fair,35°,17,>,52 14% 1016 hPa
Tuesday 4 July 2023,18:30,Fair,35°,11,>,30 13% 1016 hPa
Tuesday 4 July 2023,19:00,Fair,35°,20,13%,1016 hPa
Tuesday 4 July 2023,19:30,Fair,34°,26,14%,1016 hPa
