Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Monday 1 May 2023,00:00,Clear,17°,13,48%,1019 hPa
Monday 1 May 2023,00:30,Clear,17°,13,45%,1019 hPa
Monday 1 May 2023,01:00,Clear,16°,13,51%,1019 hPa
Monday 1 May 2023,01:30,Clear,16°,11,48%,1019 hPa
Monday 1 May 2023,02:00,Clear,15°,9,51%,1019 hPa
Monday 1 May 2023,02:30,Clear,14°,9,55%,1019 hPa
Monday 1 May 2023,03:00,Clear,14°,9,55%,1019 hPa
Monday 1 May 2023,03:30,Clear,14°,11,55%,1019 hPa
Monday 1 May 2023,04:00,Clear,13°,9,58%,1019 hPa
Monday 1 May 2023,04:30,Clear,13°,9,58%,1019 hPa
Monday 1 May 2023,05:00,Clear,13°,7,58%,1019 hPa
Monday 1 May 2023,05:30,Clear,12°,6,62%,1019 hPa
Monday 1 May 2023,06:00,Clear,12°,6,62%,1019 hPa
Monday 1 May 2023,06:30,Clear,12°,9,62%,1019 hPa
Monday 1 May 2023,07:00,Clear,11°,9,66%,1019 hPa
Monday 1 May 2023,07:30,Clear,11°,6,66%,1019 hPa
Monday 1 May 2023,08:00,Clear,11°,7,66%,1019 hPa
Monday 1 May 2023,08:30,Clear,12°,7,62%,1020 hPa
Monday 1 May 2023,09:00,Clear,13°,7,58%,1020 hPa
Monday 1 May 2023,09:30,Clear,14°,6,55%,1020 hPa
Monday 1 May 2023,10:00,Clear,16°,4,48%,1020 hPa
Monday 1 May 2023,10:30,Clear,18°,4,39%,1020 hPa
Monday 1 May 2023,11:00,Clear,20°,7,32%,1020 hPa
Monday 1 May 2023,11:30,Clear,21°,7,33%,1020 hPa
Monday 1 May 2023,12:00,Clear,23°,6,29%,1020 hPa
Monday 1 May 2023,12:30,Clear,23°,7,29%,1020 hPa
Monday 1 May 2023,13:00,Clear,23°,6,29%,1020 hPa
Monday 1 May 2023,13:30,Clear,24°,7,27%,1019 hPa
Monday 1 May 2023,14:00,Clear,24°,9,27%,1019 hPa
Monday 1 May 2023,14:30,Clear,25°,6,22%,1019 hPa
Monday 1 May 2023,15:00,Clear,25°,6,24%,1019 hPa
Monday 1 May 2023,15:30,Clear,26°,11,21%,1018 hPa
Monday 1 May 2023,16:00,Clear,26°,9,21%,1018 hPa
Monday 1 May 2023,16:30,Clear,27°,9,21%,1018 hPa
Monday 1 May 2023,17:00,Clear,27°,17,21%,1017 hPa
Monday 1 May 2023,17:30,Clear,27°,9,21%,1017 hPa
Monday 1 May 2023,18:00,Clear,27°,6,21%,1017 hPa
Monday 1 May 2023,18:30,Clear,27°,9,21%,1017 hPa
Monday 1 May 2023,19:00,Clear,27°,9,21%,1017 hPa
Monday 1 May 2023,19:30,Clear,27°,2,21%,1017 hPa
Monday 1 May 2023,20:00,Clear,27°,11,17%,1017 hPa
Monday 1 May 2023,20:30,Clear,26°,15,18%,1017 hPa
Monday 1 May 2023,21:00,Clear,24°,9,20%,1018 hPa
Monday 1 May 2023,21:30,Clear,23°,9,20%,1018 hPa
Monday 1 May 2023,22:00,Clear,22°,9,20%,1018 hPa
Monday 1 May 2023,22:30,Clear,21°,6,21%,1019 hPa
Monday 1 May 2023,23:00,Clear,20°,2,23%,1019 hPa
Monday 1 May 2023,23:30,Clear,19°,2,26%,1019 hPa
Tuesday 2 May 2023,00:00,Clear,18°,2,30%,1019 hPa
Tuesday 2 May 2023,00:30,Clear,18°,2,30%,1019 hPa
Tuesday 2 May 2023,01:00,Clear,17°,4,32%,1019 hPa
Tuesday 2 May 2023,01:30,Clear,17°,Calm,29%,1020 hPa
Tuesday 2 May 2023,02:00,Clear,16°,2,31%,1019 hPa
Tuesday 2 May 2023,02:30,Clear,15°,4,33%,1019 hPa
Tuesday 2 May 2023,03:00,Clear,14°,4,38%,1019 hPa
Tuesday 2 May 2023,03:30,Clear,14°,Calm,38%,1019 hPa
Tuesday 2 May 2023,04:00,Clear,13°,4,41%,1019 hPa
Tuesday 2 May 2023,04:30,Clear,13°,6,44%,1019 hPa
Tuesday 2 May 2023,05:00,Clear,12°,7,47%,1019 hPa
Tuesday 2 May 2023,05:30,Clear,12°,11,44%,1019 hPa
Tuesday 2 May 2023,06:00,Clear,11°,7,50%,1019 hPa
Tuesday 2 May 2023,06:30,Clear,11°,4,50%,1019 hPa
Tuesday 2 May 2023,07:00,Clear,10°,9,53%,1019 hPa
Tuesday 2 May 2023,08:00,Clear,11°,9,50%,1019 hPa
Tuesday 2 May 2023,08:30,Clear,13°,9,44%,1019 hPa
Tuesday 2 May 2023,09:00,Clear,13°,9,44%,1019 hPa
