Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Tuesday 1 November 2022,00:00,Mostly Cloudy,14°,4,94%,1022 hPa
Tuesday 1 November 2022,00:30,Mostly Cloudy,14°,4,88%,1022 hPa
Tuesday 1 November 2022,01:00,Cloudy,14°,6,94%,1022 hPa
Tuesday 1 November 2022,01:30,Mostly Cloudy,14°,4,94%,1023 hPa
Tuesday 1 November 2022,02:00,Mostly Cloudy,14°,4,94%,1023 hPa
Tuesday 1 November 2022,02:30,Mostly Cloudy,14°,6,88%,1023 hPa
Tuesday 1 November 2022,03:00,Mostly Cloudy,14°,2,94%,1023 hPa
Tuesday 1 November 2022,03:30,Mostly Cloudy,13°,2,94%,1023 hPa
Tuesday 1 November 2022,04:00,Mostly Cloudy,14°,4,94%,1023 hPa
Tuesday 1 November 2022,04:30,Mostly Cloudy,14°,Calm,94%,1023 hPa
Tuesday 1 November 2022,05:00,Mostly Cloudy,14°,2,94%,1023 hPa
Tuesday 1 November 2022,05:30,Mostly Cloudy,14°,Calm,94%,1023 hPa
Tuesday 1 November 2022,06:00,Mostly Cloudy,14°,2,94%,1023 hPa
Tuesday 1 November 2022,06:30,Cloudy,13°,6,100%,1023 hPa
Tuesday 1 November 2022,07:00,Mostly Cloudy,13°,2,94%,1023 hPa
Tuesday 1 November 2022,07:30,Mostly Cloudy,13°,2,94%,1023 hPa
Tuesday 1 November 2022,08:00,Cloudy,13°,6,94%,1024 hPa
Tuesday 1 November 2022,08:30,Mostly Cloudy,14°,2,94%,1024 hPa
Tuesday 1 November 2022,09:00,Mostly Cloudy,14°,6,88%,1025 hPa
Tuesday 1 November 2022,09:30,Mostly Cloudy,14°,9,94%,1025 hPa
Tuesday 1 November 2022,10:00,Mostly Cloudy,15°,6,82%,1025 hPa
Tuesday 1 November 2022,10:30,Mostly Cloudy,16°,4,82%,1025 hPa
Tuesday 1 November 2022,11:00,Partly Cloudy,17°,4,72%,1025 hPa
Tuesday 1 November 2022,11:30,Partly Cloudy,18°,4,73%,1025 hPa
Tuesday 1 November 2022,12:00,Partly Cloudy,18°,2,68%,1025 hPa
Tuesday 1 November 2022,12:30,Partly Cloudy,18°,2,68%,1025 hPa
Tuesday 1 November 2022,13:00,Partly Cloudy,19°,4,68%,1025 hPa
Tuesday 1 November 2022,13:30,Partly Cloudy,20°,2,60%,1024 hPa
Tuesday 1 November 2022,14:00,Mostly Cloudy,20°,2,60%,1024 hPa
Tuesday 1 November 2022,14:30,Mostly Cloudy,19°,6,60%,1024 hPa
Tuesday 1 November 2022,15:00,Mostly Cloudy,20°,6,56%,1023 hPa
Tuesday 1 November 2022,15:30,Mostly Cloudy,20°,4,56%,1023 hPa
Tuesday 1 November 2022,16:00,Partly Cloudy,20°,2,56%,1023 hPa
Tuesday 1 November 2022,16:30,Partly Cloudy,20°,7,53%,1023 hPa
Tuesday 1 November 2022,17:00,Partly Cloudy,21°,6,49%,1023 hPa
Tuesday 1 November 2022,17:30,Fair,21°,2,49%,1023 hPa
Tuesday 1 November 2022,18:00,Fair,19°,6,60%,1023 hPa
Tuesday 1 November 2022,18:30,Clear,17°,6,63%,1023 hPa
Tuesday 1 November 2022,19:00,Clear,19°,7,56%,1023 hPa
Tuesday 1 November 2022,19:30,Partly Cloudy,17°,4,63%,1024 hPa
Tuesday 1 November 2022,20:00,Fair,15°,Calm,72%,1024 hPa
Tuesday 1 November 2022,20:30,Partly Cloudy,15°,Calm,72%,1024 hPa
Tuesday 1 November 2022,21:00,Partly Cloudy,15°,6,77%,1024 hPa
Tuesday 1 November 2022,21:30,Partly Cloudy,13°,2,82%,1024 hPa
Tuesday 1 November 2022,22:00,Partly Cloudy,13°,6,82%,1025 hPa
Tuesday 1 November 2022,22:30,Partly Cloudy,13°,6,82%,1025 hPa
Tuesday 1 November 2022,23:00,Partly Cloudy,12°,4,88%,1025 hPa
Tuesday 1 November 2022,23:30,Partly Cloudy,12°,6,88%,1025 hPa
Wednesday 2 November 2022,00:00,Partly Cloudy,12°,6,88%,1025 hPa
Wednesday 2 November 2022,00:30,Fair,12°,6,88%,1025 hPa
Wednesday 2 November 2022,01:00,Fair,11°,2,94%,1025 hPa
Wednesday 2 November 2022,01:30,Fair,11°,2,87%,1025 hPa
Wednesday 2 November 2022,02:00,Fair,11°,Calm,87%,1025 hPa
Wednesday 2 November 2022,02:30,Fair,10°,4,93%,1025 hPa
Wednesday 2 November 2022,03:00,Fair,10°,6,93%,1025 hPa
Wednesday 2 November 2022,03:30,Fair,10°,4,93%,1025 hPa
Wednesday 2 November 2022,04:00,Partly Cloudy,10°,6,93%,1025 hPa
Wednesday 2 November 2022,04:30,Partly Cloudy,10°,7,93%,1025 hPa
Wednesday 2 November 2022,05:00,Partly Cloudy,10°,4,93%,1025 hPa
Wednesday 2 November 2022,05:30,Partly Cloudy,10°,4,93%,1024 hPa
Wednesday 2 November 2022,06:00,Fair,9°,2,93%,1025 hPa
Wednesday 2 November 2022,06:30,Fair,9°,Calm,93%,1025 hPa
Wednesday 2 November 2022,07:00,Fair,9°,2,93%,1025 hPa
Wednesday 2 November 2022,07:30,Partly Cloudy,9°,4,100%,1025 hPa
Wednesday 2 November 2022,08:00,Partly Cloudy,9°,6,100%,1025 hPa
Wednesday 2 November 2022,08:30,Partly Cloudy,10°,6,93%,1025 hPa
Wednesday 2 November 2022,09:00,Partly Cloudy,11°,6,87%,1025 hPa
Wednesday 2 November 2022,09:30,Fair,11°,2,87%,1026 hPa
Wednesday 2 November 2022,10:00,Fair,13°,Calm,77%,1026 hPa
Wednesday 2 November 2022,10:30,Fair,14°,4,77%,1026 hPa
Wednesday 2 November 2022,11:00,Fair,16°,2,68%,1026 hPa
Wednesday 2 November 2022,11:30,Clear,16°,6,68%,1025 hPa
Wednesday 2 November 2022,12:00,Clear,18°,4,59%,1025 hPa
Wednesday 2 November 2022,12:30,Clear,18°,2,64%,1025 hPa
Wednesday 2 November 2022,13:00,Clear,20°,4,56%,1024 hPa
Wednesday 2 November 2022,13:30,Clear,20°,4,53%,1024 hPa
Wednesday 2 November 2022,14:00,Clear,21°,4,49%,1023 hPa
Wednesday 2 November 2022,14:30,Fair,21°,2,53%,1023 hPa
Wednesday 2 November 2022,15:00,Fair,22°,7,>,32 43% 1022 hPa
Wednesday 2 November 2022,15:30,Clear,22°,7,43%,1022 hPa
Wednesday 2 November 2022,16:00,Clear,22°,7,46%,1022 hPa
Wednesday 2 November 2022,16:30,Clear,21°,9,46%,1022 hPa
Wednesday 2 November 2022,17:00,Clear,21°,6,46%,1022 hPa
Wednesday 2 November 2022,17:30,Clear,21°,6,46%,1022 hPa
Wednesday 2 November 2022,18:00,Clear,20°,11,49%,1022 hPa
Wednesday 2 November 2022,18:30,Clear,18°,6,56%,1022 hPa
Wednesday 2 November 2022,19:00,Clear,17°,6,63%,1022 hPa
Wednesday 2 November 2022,19:30,Clear,17°,4,59%,1022 hPa
Wednesday 2 November 2022,20:00,Clear,16°,4,63%,1022 hPa
Wednesday 2 November 2022,20:30,Clear,16°,2,63%,1022 hPa
Wednesday 2 November 2022,21:00,Fair,16°,2,63%,1022 hPa
Wednesday 2 November 2022,21:30,Fair,15°,4,72%,1021 hPa
Wednesday 2 November 2022,22:00,Fair,15°,6,72%,1021 hPa
Wednesday 2 November 2022,22:30,Fair,14°,4,77%,1021 hPa
Wednesday 2 November 2022,23:00,Fair,13°,Calm,82%,1021 hPa
Wednesday 2 November 2022,23:30,Partly Cloudy,14°,2,77%,1021 hPa
Thursday 3 November 2022,00:00,Fair,13°,4,82%,1021 hPa
Thursday 3 November 2022,00:30,Partly Cloudy,13°,6,82%,1021 hPa
Thursday 3 November 2022,01:00,Fair,12°,4,88%,1021 hPa
Thursday 3 November 2022,01:30,Partly Cloudy,12°,2,88%,1021 hPa
Thursday 3 November 2022,02:00,Mostly Cloudy,13°,4,82%,1020 hPa
Thursday 3 November 2022,02:30,Partly Cloudy,12°,2,88%,1020 hPa
Thursday 3 November 2022,03:00,Partly Cloudy,13°,4,82%,1020 hPa
Thursday 3 November 2022,03:30,Partly Cloudy,12°,4,88%,1020 hPa
Thursday 3 November 2022,04:00,Partly Cloudy,11°,Calm,94%,1020 hPa
Thursday 3 November 2022,04:30,Fair,12°,2,88%,1019 hPa
Thursday 3 November 2022,05:00,Clear,12°,6,88%,1019 hPa
Thursday 3 November 2022,05:30,Fair,12°,4,88%,1019 hPa
Thursday 3 November 2022,06:00,Fair,12°,2,88%,1019 hPa
Thursday 3 November 2022,06:30,Fair,12°,Calm,88%,1019 hPa
Thursday 3 November 2022,07:00,Fair,13°,9,82%,1019 hPa
Thursday 3 November 2022,07:30,Fair,14°,11,77%,1019 hPa
Thursday 3 November 2022,08:00,Partly Cloudy,14°,9,77%,1019 hPa
Thursday 3 November 2022,08:30,Partly Cloudy,14°,9,77%,1020 hPa
Thursday 3 November 2022,09:00,Partly Cloudy,15°,9,82%,1020 hPa
Thursday 3 November 2022,09:30,Light Rain,15°,15,>,33 82% 1020 hPa
Thursday 3 November 2022,10:00,Drizzle,15°,17,82%,1021 hPa
Thursday 3 November 2022,10:30,Light Rain,15°,15,82%,1021 hPa
Thursday 3 November 2022,11:00,Light Rain,15°,15,>,37 82% 1021 hPa
Thursday 3 November 2022,11:30,Partly Cloudy,15°,17,>,44 82% 1021 hPa
Thursday 3 November 2022,12:00,Mostly Cloudy,15°,17,77%,1021 hPa
Thursday 3 November 2022,12:30,Mostly Cloudy,16°,17,>,39 51% 1020 hPa
Thursday 3 November 2022,13:00,Mostly Cloudy,17°,17,>,37 45% 1020 hPa
Thursday 3 November 2022,13:30,Partly Cloudy,18°,17,>,48 42% 1020 hPa
Thursday 3 November 2022,14:00,Partly Cloudy,18°,26,>,50 39% 1019 hPa
Thursday 3 November 2022,14:30,Partly Cloudy,19°,20,40%,1019 hPa
Thursday 3 November 2022,15:00,Mostly Cloudy,18°,30,45%,1018 hPa
Thursday 3 November 2022,15:30,Mostly Cloudy,18°,26,45%,1018 hPa
Thursday 3 November 2022,16:00,Mostly Cloudy,17°,26,52%,1018 hPa
Thursday 3 November 2022,16:30,Mostly Cloudy,17°,26,55%,1018 hPa
Thursday 3 November 2022,17:00,Mostly Cloudy,17°,24,>,54 55% 1018 hPa
Thursday 3 November 2022,17:30,Cloudy,16°,24,>,48 68% 1018 hPa
Thursday 3 November 2022,18:00,Drizzle,15°,22,77%,1018 hPa
