Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Thursday 1 December 2022,00:00,Clear,7°,4,87%,1015 hPa
Thursday 1 December 2022,00:30,Clear,7°,4,81%,1015 hPa
Thursday 1 December 2022,01:00,Clear,7°,4,87%,1015 hPa
Thursday 1 December 2022,01:30,Clear,7°,6,87%,1015 hPa
Thursday 1 December 2022,02:00,Clear,7°,4,87%,1015 hPa
Thursday 1 December 2022,02:30,Clear,7°,4,87%,1015 hPa
Thursday 1 December 2022,03:00,Clear,7°,4,87%,1015 hPa
Thursday 1 December 2022,03:30,Clear,6°,4,87%,1015 hPa
Thursday 1 December 2022,04:00,Clear,6°,4,87%,1014 hPa
Thursday 1 December 2022,04:30,Clear,4°,4,93%,1014 hPa
Thursday 1 December 2022,05:00,Clear,4°,6,93%,1014 hPa
Thursday 1 December 2022,05:30,Clear,4°,6,93%,1014 hPa
Thursday 1 December 2022,06:00,Clear,3°,4,93%,1014 hPa
Thursday 1 December 2022,06:30,Clear,3°,4,93%,1014 hPa
Thursday 1 December 2022,07:00,Clear,3°,4,93%,1015 hPa
Thursday 1 December 2022,07:30,Clear,3°,4,93%,1015 hPa
Thursday 1 December 2022,08:00,Clear,2°,2,87%,1015 hPa
Thursday 1 December 2022,08:30,Clear,2°,Calm,93%,1015 hPa
Thursday 1 December 2022,09:00,Clear,3°,2,93%,1015 hPa
Thursday 1 December 2022,09:30,Clear,5°,6,87%,1016 hPa
Thursday 1 December 2022,10:00,Clear,6°,9,81%,1016 hPa
Thursday 1 December 2022,10:30,Clear,8°,9,71%,1016 hPa
Thursday 1 December 2022,11:00,Clear,9°,11,66%,1016 hPa
Thursday 1 December 2022,11:30,Clear,10°,11,62%,1016 hPa
Thursday 1 December 2022,12:00,Clear,10°,13,57%,1016 hPa
Thursday 1 December 2022,12:30,Clear,11°,15,54%,1015 hPa
Thursday 1 December 2022,13:00,Clear,11°,15,54%,1015 hPa
Thursday 1 December 2022,13:30,Clear,12°,9,44%,1015 hPa
Thursday 1 December 2022,14:00,Clear,12°,13,50%,1015 hPa
Thursday 1 December 2022,14:30,Clear,13°,13,38%,1014 hPa
Thursday 1 December 2022,15:00,Clear,12°,11,40%,1014 hPa
Thursday 1 December 2022,15:30,Clear,12°,9,44%,1014 hPa
Thursday 1 December 2022,16:00,Clear,13°,9,41%,1013 hPa
Thursday 1 December 2022,16:30,Clear,13°,6,44%,1013 hPa
Thursday 1 December 2022,17:00,Clear,12°,11,47%,1013 hPa
Thursday 1 December 2022,17:30,Clear,11°,4,50%,1014 hPa
Thursday 1 December 2022,18:00,Clear,10°,6,50%,1014 hPa
Thursday 1 December 2022,18:30,Clear,10°,9,46%,1014 hPa
Thursday 1 December 2022,19:00,Clear,9°,7,49%,1014 hPa
Thursday 1 December 2022,19:30,Clear,9°,4,49%,1014 hPa
Thursday 1 December 2022,20:00,Clear,7°,4,57%,1014 hPa
Thursday 1 December 2022,20:30,Clear,7°,4,57%,1014 hPa
Thursday 1 December 2022,21:00,Clear,6°,2,65%,1015 hPa
Thursday 1 December 2022,21:30,Clear,7°,2,61%,1015 hPa
Thursday 1 December 2022,22:00,Clear,7°,2,61%,1015 hPa
Thursday 1 December 2022,22:30,Clear,6°,7,65%,1015 hPa
Thursday 1 December 2022,23:00,Clear,6°,9,65%,1015 hPa
Thursday 1 December 2022,23:30,Clear,6°,4,65%,1016 hPa
Friday 2 December 2022,00:00,Clear,4°,2,70%,1016 hPa
Friday 2 December 2022,00:30,Clear,4°,7,70%,1016 hPa
Friday 2 December 2022,01:00,Clear,3°,6,75%,1016 hPa
Friday 2 December 2022,01:30,Clear,4°,7,75%,1015 hPa
Friday 2 December 2022,02:00,Clear,3°,7,75%,1015 hPa
Friday 2 December 2022,02:30,Clear,3°,9,75%,1015 hPa
Friday 2 December 2022,03:00,Clear,4°,7,75%,1015 hPa
Friday 2 December 2022,03:30,Mostly Cloudy,4°,7,75%,1015 hPa
Friday 2 December 2022,04:00,Mostly Cloudy,4°,9,75%,1015 hPa
Friday 2 December 2022,04:30,Mostly Cloudy,4°,7,75%,1015 hPa
Friday 2 December 2022,05:00,Mostly Cloudy,4°,9,75%,1015 hPa
Friday 2 December 2022,05:30,Mostly Cloudy,4°,9,75%,1015 hPa
Friday 2 December 2022,06:00,Mostly Cloudy,3°,7,81%,1014 hPa
Friday 2 December 2022,06:30,Mostly Cloudy,3°,9,75%,1014 hPa
Friday 2 December 2022,07:00,Mostly Cloudy,2°,7,80%,1014 hPa
Friday 2 December 2022,07:30,Mostly Cloudy,2°,7,80%,1015 hPa
Friday 2 December 2022,08:00,Mostly Cloudy,2°,7,80%,1015 hPa
Friday 2 December 2022,08:30,Mostly Cloudy,2°,7,80%,1015 hPa
Friday 2 December 2022,09:00,Mostly Cloudy,2°,11,75%,1015 hPa
Friday 2 December 2022,09:30,Mostly Cloudy,2°,9,75%,1015 hPa
Friday 2 December 2022,10:00,Mostly Cloudy,3°,9,75%,1015 hPa
Friday 2 December 2022,10:30,Mostly Cloudy,3°,11,75%,1015 hPa
Friday 2 December 2022,11:00,Mostly Cloudy,4°,9,75%,1015 hPa
Friday 2 December 2022,11:30,Mostly Cloudy,5°,7,70%,1015 hPa
Friday 2 December 2022,12:00,Mostly Cloudy,6°,4,70%,1014 hPa
Friday 2 December 2022,12:30,Mostly Cloudy,7°,4,70%,1014 hPa
Friday 2 December 2022,13:00,Partly Cloudy,8°,2,66%,1014 hPa
Friday 2 December 2022,13:30,Partly Cloudy,8°,4,66%,1013 hPa
Friday 2 December 2022,14:00,Partly Cloudy,10°,6,62%,1013 hPa
Friday 2 December 2022,14:30,Fair,10°,4,62%,1012 hPa
Friday 2 December 2022,15:00,Fair,11°,6,58%,1012 hPa
Friday 2 December 2022,15:30,Fair,11°,Calm,58%,1012 hPa
Friday 2 December 2022,16:00,Fair,11°,2,58%,1012 hPa
Friday 2 December 2022,16:30,Fair,10°,6,62%,1011 hPa
Friday 2 December 2022,17:00,Fair,11°,Calm,54%,1011 hPa
Friday 2 December 2022,17:30,Fair,8°,2,71%,1011 hPa
Friday 2 December 2022,18:00,Fair,6°,4,75%,1011 hPa
Friday 2 December 2022,18:30,Fair,6°,4,75%,1011 hPa
Friday 2 December 2022,19:00,Fair,6°,6,75%,1011 hPa
Friday 2 December 2022,19:30,Fair,5°,4,81%,1011 hPa
Friday 2 December 2022,20:00,Fair,5°,4,81%,1011 hPa
Friday 2 December 2022,20:30,Fair,5°,4,81%,1011 hPa
Friday 2 December 2022,21:00,Partly Cloudy,4°,2,87%,1011 hPa
Friday 2 December 2022,21:30,Fair,4°,6,87%,1011 hPa
Friday 2 December 2022,22:00,Fair,3°,9,87%,1011 hPa
Friday 2 December 2022,22:30,Clear,3°,7,87%,1011 hPa
Friday 2 December 2022,23:00,Partly Cloudy,3°,6,87%,1011 hPa
Friday 2 December 2022,23:30,Partly Cloudy,3°,7,87%,1011 hPa
Saturday 3 December 2022,00:00,Partly Cloudy,2°,6,93%,1011 hPa
Saturday 3 December 2022,00:30,Partly Cloudy,2°,4,87%,1011 hPa
Saturday 3 December 2022,01:00,Partly Cloudy,1°,6,93%,1010 hPa
Saturday 3 December 2022,01:30,Partly Cloudy,1°,6,93%,1010 hPa
Saturday 3 December 2022,02:00,Fair,1°,6,93%,1010 hPa
Saturday 3 December 2022,02:30,Fair,1°,6,93%,1010 hPa
Saturday 3 December 2022,03:00,Fair,0°,4,100%,1010 hPa
Saturday 3 December 2022,03:30,Fair,1°,6,93%,1009 hPa
Saturday 3 December 2022,04:00,Partly Cloudy,0°,4,93%,1009 hPa
Saturday 3 December 2022,04:30,Partly Cloudy,0°,4,93%,1009 hPa
Saturday 3 December 2022,05:00,Fair,-1°,4,93%,1009 hPa
Saturday 3 December 2022,05:30,Fair,0°,4,93%,1009 hPa
Saturday 3 December 2022,06:00,Partly Cloudy,-1°,4,93%,1008 hPa
Saturday 3 December 2022,06:30,Partly Cloudy,-1°,6,93%,1008 hPa
Saturday 3 December 2022,07:00,Partly Cloudy,-1°,4,93%,1008 hPa
Saturday 3 December 2022,07:30,Fair,-1°,4,100%,1008 hPa
Saturday 3 December 2022,08:00,Partly Cloudy,0°,4,93%,1008 hPa
Saturday 3 December 2022,08:30,Mostly Cloudy,0°,4,93%,1008 hPa
Saturday 3 December 2022,09:00,Partly Cloudy,0°,2,93%,1008 hPa
Saturday 3 December 2022,09:30,Fair,0°,6,93%,1008 hPa
Saturday 3 December 2022,10:00,Fair,1°,4,93%,1008 hPa
Saturday 3 December 2022,10:30,Partly Cloudy,2°,4,87%,1008 hPa
Saturday 3 December 2022,11:00,Fair,3°,2,87%,1008 hPa
Saturday 3 December 2022,11:30,Fair,5°,4,81%,1008 hPa
Saturday 3 December 2022,12:00,Fair,6°,7,75%,1008 hPa
Saturday 3 December 2022,12:30,Clear,6°,7,75%,1007 hPa
Saturday 3 December 2022,13:00,Clear,7°,11,76%,1007 hPa
Saturday 3 December 2022,13:30,Fair,8°,9,71%,1006 hPa
Saturday 3 December 2022,14:00,Clear,8°,9,76%,1006 hPa
Saturday 3 December 2022,14:30,Fair,9°,11,71%,1006 hPa
Saturday 3 December 2022,15:00,Partly Cloudy,9°,7,71%,1006 hPa
Saturday 3 December 2022,15:30,Partly Cloudy,9°,7,71%,1006 hPa
Saturday 3 December 2022,16:00,Partly Cloudy,9°,6,71%,1006 hPa
Saturday 3 December 2022,16:30,Partly Cloudy,9°,4,71%,1006 hPa
Saturday 3 December 2022,17:00,Mostly Cloudy,9°,4,71%,1006 hPa
Saturday 3 December 2022,17:30,Mostly Cloudy,8°,6,76%,1006 hPa
Saturday 3 December 2022,18:00,Mostly Cloudy,8°,4,76%,1006 hPa
Saturday 3 December 2022,18:30,Mostly Cloudy,7°,6,81%,1006 hPa
Saturday 3 December 2022,19:00,Light Rain,7°,4,81%,1006 hPa
Saturday 3 December 2022,19:30,Drizzle,6°,2,93%,1006 hPa
Saturday 3 December 2022,20:00,Drizzle,6°,4,93%,1006 hPa
Saturday 3 December 2022,20:30,Mostly Cloudy,6°,4,93%,1006 hPa
Saturday 3 December 2022,21:00,Mostly Cloudy,6°,7,93%,1006 hPa
Saturday 3 December 2022,21:30,Mostly Cloudy,6°,6,87%,1006 hPa
Saturday 3 December 2022,22:00,Mostly Cloudy,5°,6,93%,1006 hPa
Saturday 3 December 2022,22:30,Partly Cloudy,5°,2,93%,1007 hPa
Saturday 3 December 2022,23:00,Partly Cloudy,5°,2,93%,1007 hPa
Saturday 3 December 2022,23:30,Partly Cloudy,5°,4,93%,1007 hPa
Sunday 4 December 2022,00:00,Partly Cloudy,5°,4,93%,1007 hPa
Sunday 4 December 2022,00:30,Partly Cloudy,5°,6,87%,1007 hPa
Sunday 4 December 2022,01:00,Partly Cloudy,4°,7,93%,1007 hPa
