Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Wednesday 1 February 2023,00:00,Clear,0°,6,80%,1028 hPa
Wednesday 1 February 2023,00:30,Clear,0°,7,74%,1028 hPa
Wednesday 1 February 2023,01:00,Clear,0°,6,74%,1028 hPa
Wednesday 1 February 2023,01:30,Clear,-1°,6,80%,1028 hPa
Wednesday 1 February 2023,02:00,Clear,-1°,6,80%,1028 hPa
Wednesday 1 February 2023,02:30,Clear,-2°,4,86%,1028 hPa
Wednesday 1 February 2023,03:00,Clear,-2°,6,86%,1028 hPa
Wednesday 1 February 2023,03:30,Clear,-2°,6,86%,1028 hPa
Wednesday 1 February 2023,04:00,Clear,-2°,6,86%,1027 hPa
Wednesday 1 February 2023,04:30,Clear,-2°,4,86%,1027 hPa
Wednesday 1 February 2023,05:00,Clear,-3°,4,86%,1027 hPa
Wednesday 1 February 2023,05:30,Clear,-2°,7,80%,1027 hPa
Wednesday 1 February 2023,06:00,Clear,-2°,11,80%,1027 hPa
Wednesday 1 February 2023,06:30,Clear,-2°,11,80%,1027 hPa
Wednesday 1 February 2023,07:00,Clear,-2°,9,80%,1027 hPa
Wednesday 1 February 2023,07:30,Clear,-2°,9,80%,1027 hPa
Wednesday 1 February 2023,08:00,Clear,-3°,7,86%,1028 hPa
Wednesday 1 February 2023,08:30,Clear,-3°,7,86%,1028 hPa
Wednesday 1 February 2023,09:00,Clear,-2°,7,80%,1028 hPa
Wednesday 1 February 2023,09:30,Clear,-1°,7,80%,1028 hPa
Wednesday 1 February 2023,10:00,Clear,0°,7,74%,1028 hPa
Wednesday 1 February 2023,10:30,Clear,1°,9,69%,1028 hPa
Wednesday 1 February 2023,11:00,Clear,3°,9,70%,1029 hPa
Wednesday 1 February 2023,11:30,Clear,5°,6,65%,1029 hPa
Wednesday 1 February 2023,12:00,Clear,7°,4,61%,1028 hPa
Wednesday 1 February 2023,12:30,Clear,9°,4,53%,1028 hPa
Wednesday 1 February 2023,13:00,Clear,10°,4,53%,1028 hPa
Wednesday 1 February 2023,13:30,Clear,11°,6,47%,1027 hPa
Wednesday 1 February 2023,14:00,Clear,12°,4,44%,1027 hPa
Wednesday 1 February 2023,14:30,Clear,13°,7,41%,1026 hPa
Wednesday 1 February 2023,15:00,Clear,13°,6,41%,1026 hPa
Wednesday 1 February 2023,15:30,Clear,14°,6,38%,1026 hPa
Wednesday 1 February 2023,16:00,Clear,14°,2,38%,1025 hPa
Wednesday 1 February 2023,16:30,Clear,14°,6,36%,1025 hPa
Wednesday 1 February 2023,17:00,Clear,15°,4,33%,1025 hPa
Wednesday 1 February 2023,17:30,Clear,14°,2,36%,1025 hPa
Wednesday 1 February 2023,18:00,Clear,13°,4,38%,1025 hPa
Wednesday 1 February 2023,18:30,Clear,12°,6,40%,1026 hPa
Wednesday 1 February 2023,19:00,Clear,11°,7,43%,1026 hPa
Wednesday 1 February 2023,19:30,Clear,9°,7,49%,1026 hPa
Wednesday 1 February 2023,20:00,Clear,7°,6,57%,1026 hPa
Wednesday 1 February 2023,20:30,Clear,5°,4,65%,1026 hPa
Wednesday 1 February 2023,21:00,Clear,5°,4,65%,1027 hPa
Wednesday 1 February 2023,21:30,Clear,4°,6,65%,1027 hPa
Wednesday 1 February 2023,22:00,Clear,4°,7,65%,1027 hPa
Wednesday 1 February 2023,22:30,Clear,3°,6,70%,1027 hPa
Wednesday 1 February 2023,23:00,Clear,2°,4,69%,1027 hPa
Wednesday 1 February 2023,23:30,Clear,2°,2,75%,1027 hPa
Thursday 2 February 2023,00:00,Clear,1°,2,75%,1027 hPa
Thursday 2 February 2023,00:30,Clear,1°,4,75%,1028 hPa
Thursday 2 February 2023,01:00,Clear,0°,2,80%,1028 hPa
Thursday 2 February 2023,01:30,Clear,0°,4,80%,1028 hPa
Thursday 2 February 2023,02:00,Clear,1°,4,75%,1028 hPa
Thursday 2 February 2023,02:30,Clear,-1°,2,86%,1028 hPa
Thursday 2 February 2023,03:00,Clear,0°,4,80%,1028 hPa
Thursday 2 February 2023,03:30,Clear,-1°,6,80%,1028 hPa
Thursday 2 February 2023,04:00,Clear,-1°,6,80%,1028 hPa
Thursday 2 February 2023,04:30,Clear,-2°,Calm,86%,1028 hPa
Thursday 2 February 2023,05:00,Clear,-1°,7,86%,1028 hPa
Thursday 2 February 2023,05:30,Clear,-1°,6,80%,1028 hPa
Thursday 2 February 2023,06:00,Clear,-2°,4,86%,1028 hPa
Thursday 2 February 2023,06:30,Clear,-2°,Calm,86%,1028 hPa
Thursday 2 February 2023,07:00,Clear,-3°,2,93%,1029 hPa
Thursday 2 February 2023,07:30,Clear,-2°,Calm,86%,1029 hPa
Thursday 2 February 2023,08:00,Clear,-1°,Calm,86%,1029 hPa
Thursday 2 February 2023,08:30,Clear,-2°,2,86%,1029 hPa
Thursday 2 February 2023,09:00,Clear,-2°,6,86%,1029 hPa
Thursday 2 February 2023,09:30,Clear,-1°,2,86%,1030 hPa
Thursday 2 February 2023,10:00,Clear,1°,4,80%,1030 hPa
Thursday 2 February 2023,10:30,Clear,2°,6,75%,1030 hPa
Thursday 2 February 2023,11:00,Clear,4°,4,70%,1030 hPa
Thursday 2 February 2023,11:30,Clear,6°,4,65%,1031 hPa
Thursday 2 February 2023,12:00,Clear,7°,4,61%,1031 hPa
Thursday 2 February 2023,12:30,Clear,8°,6,57%,1031 hPa
Thursday 2 February 2023,13:00,Clear,10°,4,46%,1030 hPa
Thursday 2 February 2023,13:30,Clear,11°,2,43%,1030 hPa
Thursday 2 February 2023,14:00,Clear,12°,2,40%,1029 hPa
Thursday 2 February 2023,14:30,Clear,13°,4,38%,1029 hPa
Thursday 2 February 2023,15:00,Clear,14°,2,38%,1028 hPa
Thursday 2 February 2023,15:30,Clear,13°,2,38%,1028 hPa
Thursday 2 February 2023,16:00,Clear,14°,2,36%,1028 hPa
Thursday 2 February 2023,16:30,Clear,14°,4,36%,1028 hPa
Thursday 2 February 2023,17:00,Clear,15°,2,33%,1028 hPa
Thursday 2 February 2023,17:30,Clear,14°,2,36%,1028 hPa
Thursday 2 February 2023,18:00,Clear,13°,2,41%,1029 hPa
Thursday 2 February 2023,18:30,Clear,11°,4,47%,1029 hPa
Thursday 2 February 2023,19:00,Clear,9°,4,49%,1029 hPa
Thursday 2 February 2023,19:30,Clear,8°,Calm,53%,1030 hPa
Thursday 2 February 2023,20:00,Clear,7°,2,57%,1030 hPa
Thursday 2 February 2023,20:30,Clear,6°,4,61%,1030 hPa
Thursday 2 February 2023,21:00,Clear,5°,4,65%,1030 hPa
Thursday 2 February 2023,21:30,Clear,4°,7,70%,1030 hPa
Thursday 2 February 2023,22:00,Clear,4°,6,70%,1030 hPa
Thursday 2 February 2023,22:30,Clear,3°,7,75%,1030 hPa
Thursday 2 February 2023,23:00,Clear,3°,7,75%,1031 hPa
Thursday 2 February 2023,23:30,Clear,2°,2,80%,1031 hPa
Friday 3 February 2023,00:00,Clear,1°,6,80%,1031 hPa
Friday 3 February 2023,00:30,Clear,1°,6,86%,1031 hPa
Friday 3 February 2023,01:00,Clear,1°,6,80%,1031 hPa
Friday 3 February 2023,01:30,Clear,1°,6,86%,1031 hPa
Friday 3 February 2023,02:00,Clear,0°,6,74%,1031 hPa
