Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Sunday 1 January 2023,00:00,Clear,5°,7,87%,1027 hPa
Sunday 1 January 2023,00:30,Clear,4°,6,93%,1027 hPa
Sunday 1 January 2023,01:00,Clear,4°,6,87%,1027 hPa
Sunday 1 January 2023,01:30,Clear,4°,6,87%,1026 hPa
Sunday 1 January 2023,02:00,Clear,5°,7,87%,1026 hPa
Sunday 1 January 2023,02:30,Fair,4°,6,87%,1026 hPa
Sunday 1 January 2023,03:00,Fair,4°,4,93%,1026 hPa
Sunday 1 January 2023,03:30,Fair,5°,6,87%,1026 hPa
Sunday 1 January 2023,04:00,Partly Cloudy,4°,Calm,93%,1026 hPa
Sunday 1 January 2023,04:30,Partly Cloudy,4°,Calm,93%,1025 hPa
Sunday 1 January 2023,05:00,Partly Cloudy,5°,2,87%,1026 hPa
Sunday 1 January 2023,05:30,Partly Cloudy,5°,4,87%,1025 hPa
Sunday 1 January 2023,06:00,Partly Cloudy,4°,4,93%,1025 hPa
Sunday 1 January 2023,06:30,Partly Cloudy,5°,6,93%,1025 hPa
Sunday 1 January 2023,07:00,Partly Cloudy,6°,4,87%,1025 hPa
Sunday 1 January 2023,07:30,Partly Cloudy,6°,6,87%,1025 hPa
Sunday 1 January 2023,08:00,Partly Cloudy,7°,7,81%,1025 hPa
Sunday 1 January 2023,08:30,Partly Cloudy,7°,9,81%,1025 hPa
Sunday 1 January 2023,09:00,Partly Cloudy,6°,6,87%,1025 hPa
Sunday 1 January 2023,09:30,Fair,7°,6,87%,1025 hPa
Sunday 1 January 2023,10:00,Clear,7°,7,81%,1025 hPa
Sunday 1 January 2023,10:30,Clear,8°,6,81%,1025 hPa
Sunday 1 January 2023,11:00,Fair,8°,9,81%,1025 hPa
Sunday 1 January 2023,11:30,Fair,9°,11,76%,1025 hPa
Sunday 1 January 2023,12:00,Clear,10°,7,76%,1025 hPa
Sunday 1 January 2023,12:30,Clear,12°,6,62%,1024 hPa
Sunday 1 January 2023,13:00,Clear,13°,2,58%,1024 hPa
Sunday 1 January 2023,13:30,Clear,14°,4,44%,1023 hPa
Sunday 1 January 2023,14:00,Clear,15°,2,39%,1023 hPa
Sunday 1 January 2023,14:30,Clear,16°,4,39%,1022 hPa
Sunday 1 January 2023,15:00,Clear,16°,4,36%,1022 hPa
