Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Wednesday 1 March 2023,00:00,Fair,1°,13,51%,1020 hPa
Wednesday 1 March 2023,00:30,Clear,0°,7,55%,1020 hPa
Wednesday 1 March 2023,01:00,Clear,0°,4,55%,1019 hPa
Wednesday 1 March 2023,01:30,Clear,-1°,6,54%,1019 hPa
Wednesday 1 March 2023,02:00,Clear,-1°,6,54%,1019 hPa
Wednesday 1 March 2023,02:30,Clear,-2°,2,59%,1019 hPa
Wednesday 1 March 2023,03:00,Clear,-2°,4,63%,1019 hPa
Wednesday 1 March 2023,03:30,Clear,-1°,7,59%,1019 hPa
Wednesday 1 March 2023,04:00,Clear,-1°,9,59%,1019 hPa
Wednesday 1 March 2023,04:30,Clear,-1°,6,54%,1018 hPa
Wednesday 1 March 2023,05:00,Clear,-3°,6,63%,1018 hPa
Wednesday 1 March 2023,05:30,Fair,-2°,4,59%,1018 hPa
Wednesday 1 March 2023,06:00,Partly Cloudy,-2°,2,63%,1018 hPa
Wednesday 1 March 2023,06:30,Fair,-3°,4,63%,1018 hPa
Wednesday 1 March 2023,07:00,Fair,-3°,4,63%,1017 hPa
Wednesday 1 March 2023,07:30,Fair,-4°,7,68%,1017 hPa
Wednesday 1 March 2023,08:00,Fair,-5°,9,73%,1017 hPa
Wednesday 1 March 2023,08:30,Fair,-3°,6,68%,1018 hPa
Wednesday 1 March 2023,09:00,Fair,-2°,2,63%,1018 hPa
Wednesday 1 March 2023,09:30,Fair,0°,Calm,55%,1018 hPa
Wednesday 1 March 2023,10:00,Fair,0°,Calm,55%,1018 hPa
Wednesday 1 March 2023,10:30,Partly Cloudy,2°,2,51%,1018 hPa
Wednesday 1 March 2023,11:00,Mostly Cloudy,2°,2,47%,1018 hPa
Wednesday 1 March 2023,11:30,Partly Cloudy,3°,4,44%,1018 hPa
Wednesday 1 March 2023,12:00,Mostly Cloudy,3°,4,48%,1018 hPa
Wednesday 1 March 2023,12:30,Mostly Cloudy,4°,9,44%,1018 hPa
Wednesday 1 March 2023,13:00,Mostly Cloudy,4°,7,44%,1017 hPa
Wednesday 1 March 2023,13:30,Mostly Cloudy,4°,6,44%,1017 hPa
Wednesday 1 March 2023,14:00,Mostly Cloudy,4°,4,41%,1016 hPa
Wednesday 1 March 2023,14:30,Mostly Cloudy,4°,4,38%,1016 hPa
Wednesday 1 March 2023,15:00,Mostly Cloudy,5°,4,38%,1016 hPa
Wednesday 1 March 2023,15:30,Partly Cloudy,6°,4,39%,1015 hPa
Wednesday 1 March 2023,16:00,Partly Cloudy,6°,6,36%,1015 hPa
Wednesday 1 March 2023,16:30,Partly Cloudy,6°,6,36%,1015 hPa
Wednesday 1 March 2023,17:00,Partly Cloudy,6°,7,36%,1015 hPa
Wednesday 1 March 2023,17:30,Mostly Cloudy,8°,6,31%,1014 hPa
Wednesday 1 March 2023,18:00,Mostly Cloudy,6°,24,36%,1014 hPa
Wednesday 1 March 2023,18:30,Fair,6°,19,36%,1015 hPa
Wednesday 1 March 2023,19:00,Fair,5°,19,41%,1015 hPa
Wednesday 1 March 2023,19:30,Fair,5°,13,45%,1015 hPa
Wednesday 1 March 2023,20:00,Fair,4°,9,48%,1016 hPa
Wednesday 1 March 2023,20:30,Fair,3°,6,51%,1016 hPa
Wednesday 1 March 2023,21:00,Clear,2°,7,55%,1016 hPa
Wednesday 1 March 2023,21:30,Clear,2°,7,51%,1016 hPa
Wednesday 1 March 2023,22:00,Clear,2°,9,51%,1016 hPa
Wednesday 1 March 2023,22:30,Clear,1°,6,55%,1016 hPa
Wednesday 1 March 2023,23:00,Clear,1°,9,55%,1016 hPa
Wednesday 1 March 2023,23:30,Clear,0°,Calm,59%,1016 hPa
Thursday 2 March 2023,00:00,Clear,-2°,4,69%,1016 hPa
Thursday 2 March 2023,00:30,Clear,1°,4,55%,1016 hPa
Thursday 2 March 2023,01:00,Clear,-2°,Calm,63%,1016 hPa
Thursday 2 March 2023,01:30,Clear,-2°,2,69%,1015 hPa
Thursday 2 March 2023,02:00,Clear,-2°,Calm,69%,1015 hPa
Thursday 2 March 2023,02:30,Clear,-2°,Calm,69%,1015 hPa
Thursday 2 March 2023,03:00,Clear,-3°,2,68%,1015 hPa
Thursday 2 March 2023,03:30,Clear,-3°,2,74%,1015 hPa
