Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Saturday 1 April 2023,00:00,Clear,16°,33,>,52 48% 1022 hPa
Saturday 1 April 2023,00:30,Clear,16°,28,>,46 48% 1022 hPa
Saturday 1 April 2023,01:00,Clear,15°,20,48%,1022 hPa
Saturday 1 April 2023,01:30,Clear,14°,28,51%,1022 hPa
Saturday 1 April 2023,02:00,Clear,14°,30,51%,1022 hPa
Saturday 1 April 2023,02:30,Clear,14°,30,>,50 47% 1022 hPa
Saturday 1 April 2023,03:00,Clear,13°,30,51%,1022 hPa
Saturday 1 April 2023,03:30,Clear,13°,28,51%,1022 hPa
Saturday 1 April 2023,04:00,Clear,12°,24,54%,1021 hPa
Saturday 1 April 2023,04:30,Clear,12°,22,58%,1022 hPa
Saturday 1 April 2023,05:00,Clear,12°,24,54%,1021 hPa
Saturday 1 April 2023,05:30,Clear,12°,19,54%,1021 hPa
Saturday 1 April 2023,06:00,Clear,11°,7,58%,1021 hPa
Saturday 1 April 2023,06:30,Fair,11°,6,58%,1021 hPa
Saturday 1 April 2023,07:00,Fair,12°,7,50%,1021 hPa
Saturday 1 April 2023,07:30,Fair,11°,19,58%,1021 hPa
Saturday 1 April 2023,08:00,Fair,11°,11,58%,1022 hPa
Saturday 1 April 2023,08:30,Fair,11°,11,58%,1022 hPa
Saturday 1 April 2023,09:00,Clear,11°,7,58%,1022 hPa
Saturday 1 April 2023,09:30,Clear,12°,7,54%,1022 hPa
Saturday 1 April 2023,10:00,Fair,13°,22,51%,1022 hPa
Saturday 1 April 2023,10:30,Fair,13°,20,51%,1022 hPa
Saturday 1 April 2023,11:00,Fair,14°,24,51%,1022 hPa
Saturday 1 April 2023,11:30,Fair,15°,26,48%,1022 hPa
Saturday 1 April 2023,12:00,Fair,15°,19,48%,1022 hPa
Saturday 1 April 2023,12:30,Fair,16°,20,45%,1022 hPa
Saturday 1 April 2023,13:00,Fair,15°,20,48%,1022 hPa
Saturday 1 April 2023,13:30,Fair,16°,20,>,39 45% 1022 hPa
Saturday 1 April 2023,14:00,Fair,17°,22,42%,1021 hPa
Saturday 1 April 2023,14:30,Partly Cloudy,17°,20,42%,1021 hPa
Saturday 1 April 2023,15:00,Fair,18°,20,39%,1021 hPa
Saturday 1 April 2023,15:30,Fair,19°,20,40%,1020 hPa
Saturday 1 April 2023,16:00,Fair,18°,24,42%,1020 hPa
Saturday 1 April 2023,16:30,Clear,19°,24,40%,1019 hPa
Saturday 1 April 2023,17:00,Fair,20°,28,37%,1019 hPa
Saturday 1 April 2023,17:30,Fair,20°,28,37%,1019 hPa
Saturday 1 April 2023,18:00,Fair,20°,30,>,50 35% 1019 hPa
Saturday 1 April 2023,18:30,Fair,19°,41,>,59 37% 1019 hPa
Saturday 1 April 2023,19:00,Fair,19°,44,34%,1019 hPa
Saturday 1 April 2023,19:30,Fair,18°,37,39%,1019 hPa
Saturday 1 April 2023,20:00,Fair,17°,33,42%,1019 hPa
Saturday 1 April 2023,20:30,Fair,17°,30,42%,1019 hPa
Saturday 1 April 2023,21:00,Fair,17°,26,42%,1019 hPa
Saturday 1 April 2023,21:30,Fair,16°,26,48%,1019 hPa
Saturday 1 April 2023,22:00,Fair,16°,28,48%,1019 hPa
Saturday 1 April 2023,22:30,Partly Cloudy,15°,26,51%,1020 hPa
Saturday 1 April 2023,23:00,Fair,15°,20,48%,1020 hPa
Saturday 1 April 2023,23:30,Clear,14°,19,41%,1021 hPa
Sunday 2 April 2023,00:00,Clear,12°,22,50%,1022 hPa
Sunday 2 April 2023,00:30,Clear,11°,13,54%,1022 hPa
Sunday 2 April 2023,01:00,Clear,11°,20,50%,1022 hPa
Sunday 2 April 2023,01:30,Clear,10°,19,46%,1022 hPa
Sunday 2 April 2023,02:00,Clear,9°,6,49%,1022 hPa
Sunday 2 April 2023,02:30,Clear,9°,11,49%,1023 hPa
Sunday 2 April 2023,03:00,Clear,8°,15,53%,1023 hPa
Sunday 2 April 2023,03:30,Clear,8°,13,53%,1023 hPa
Sunday 2 April 2023,04:00,Clear,8°,7,53%,1023 hPa
Sunday 2 April 2023,04:30,Clear,7°,2,57%,1023 hPa
Sunday 2 April 2023,05:00,Clear,7°,11,57%,1023 hPa
Sunday 2 April 2023,05:30,Clear,7°,9,57%,1024 hPa
Sunday 2 April 2023,06:00,Clear,7°,6,53%,1024 hPa
Sunday 2 April 2023,06:30,Clear,6°,7,56%,1023 hPa
Sunday 2 April 2023,07:00,Clear,7°,9,53%,1024 hPa
Sunday 2 April 2023,07:30,Clear,6°,4,56%,1024 hPa
Sunday 2 April 2023,08:00,Clear,6°,6,56%,1024 hPa
Sunday 2 April 2023,08:30,Clear,6°,7,56%,1024 hPa
Sunday 2 April 2023,09:00,Clear,7°,4,57%,1025 hPa
Sunday 2 April 2023,09:30,Clear,8°,7,53%,1025 hPa
