Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Thursday 1 June 2023,00:00,Mostly Cloudy,19°,4,60%,1015 hPa
Thursday 1 June 2023,00:30,Mostly Cloudy,19°,6,60%,1016 hPa
Thursday 1 June 2023,01:00,Partly Cloudy,17°,9,72%,1016 hPa
Thursday 1 June 2023,01:30,Mostly Cloudy,17°,7,68%,1016 hPa
Thursday 1 June 2023,02:00,Mostly Cloudy,17°,9,72%,1016 hPa
Thursday 1 June 2023,02:30,Fair,16°,9,77%,1016 hPa
Thursday 1 June 2023,03:00,Fair,15°,13,88%,1015 hPa
Thursday 1 June 2023,03:30,Clear,15°,9,88%,1015 hPa
Thursday 1 June 2023,04:00,Clear,15°,9,82%,1015 hPa
Thursday 1 June 2023,04:30,Clear,14°,4,88%,1015 hPa
Thursday 1 June 2023,05:00,Clear,14°,2,88%,1015 hPa
Thursday 1 June 2023,05:30,Clear,14°,2,88%,1014 hPa
Thursday 1 June 2023,06:00,Clear,14°,2,88%,1014 hPa
Thursday 1 June 2023,06:30,Clear,13°,4,94%,1014 hPa
Thursday 1 June 2023,07:00,Clear,13°,4,94%,1014 hPa
Thursday 1 June 2023,07:30,Clear,13°,4,94%,1015 hPa
Thursday 1 June 2023,08:00,Clear,14°,4,88%,1015 hPa
Thursday 1 June 2023,08:30,Fair,15°,4,88%,1015 hPa
Thursday 1 June 2023,09:00,Partly Cloudy,16°,6,82%,1015 hPa
Thursday 1 June 2023,09:30,Partly Cloudy,16°,6,82%,1015 hPa
Thursday 1 June 2023,10:00,Partly Cloudy,17°,4,77%,1015 hPa
Thursday 1 June 2023,10:30,Partly Cloudy,18°,4,73%,1015 hPa
Thursday 1 June 2023,11:00,Fair,20°,4,64%,1015 hPa
Thursday 1 June 2023,11:30,Fair,21°,6,53%,1015 hPa
Thursday 1 June 2023,12:00,Fair,21°,7,49%,1015 hPa
Thursday 1 June 2023,12:30,Fair,22°,7,46%,1014 hPa
Thursday 1 June 2023,13:00,Partly Cloudy,22°,9,50%,1014 hPa
Thursday 1 June 2023,13:30,Partly Cloudy,23°,7,44%,1013 hPa
Thursday 1 June 2023,14:00,Mostly Cloudy,23°,6,47%,1013 hPa
Thursday 1 June 2023,14:30,T-Storm,25°,7,39%,1013 hPa
Thursday 1 June 2023,15:00,T-Storm,25°,7,36%,1012 hPa
Thursday 1 June 2023,15:30,T-Storm,24°,9,41%,1012 hPa
Thursday 1 June 2023,16:00,T-Storm,23°,15,44%,1012 hPa
Thursday 1 June 2023,16:30,T-Storm,23°,17,47%,1011 hPa
Thursday 1 June 2023,16:49,T-Storm,22°,15,43%,1011 hPa
Thursday 1 June 2023,17:00,T-Storm,21°,13,49%,1012 hPa
Thursday 1 June 2023,17:06,T-Storm,21°,26,60%,1012 hPa
Thursday 1 June 2023,17:13,T-Storm,19°,22,64%,1012 hPa
Thursday 1 June 2023,17:30,T-Storm,16°,32,82%,1013 hPa
Thursday 1 June 2023,18:00,Light Rain,15°,20,82%,1013 hPa
Thursday 1 June 2023,18:30,Light Rain,15°,9,88%,1013 hPa
Thursday 1 June 2023,19:00,Light Rain,15°,9,88%,1012 hPa
Thursday 1 June 2023,19:30,Fair,16°,4,88%,1012 hPa
Thursday 1 June 2023,20:00,Clear,16°,4,88%,1013 hPa
Thursday 1 June 2023,20:30,Clear,16°,7,88%,1013 hPa
Thursday 1 June 2023,21:00,Mostly Cloudy,16°,4,88%,1014 hPa
Thursday 1 June 2023,21:30,Light Rain,15°,6,94%,1014 hPa
Thursday 1 June 2023,22:00,Light Rain,15°,6,94%,1014 hPa
Thursday 1 June 2023,22:30,Mostly Cloudy,15°,4,88%,1014 hPa
Thursday 1 June 2023,23:00,Partly Cloudy,15°,Calm,88%,1014 hPa
Thursday 1 June 2023,23:30,Partly Cloudy,15°,4,94%,1014 hPa
Friday 2 June 2023,00:00,Partly Cloudy,15°,6,94%,1014 hPa
Friday 2 June 2023,00:30,Partly Cloudy,15°,6,88%,1014 hPa
Friday 2 June 2023,01:00,Partly Cloudy,15°,7,88%,1014 hPa
Friday 2 June 2023,01:30,Partly Cloudy,14°,9,94%,1014 hPa
Friday 2 June 2023,02:00,Partly Cloudy,14°,7,94%,1014 hPa
Friday 2 June 2023,02:30,Fair,14°,4,94%,1014 hPa
Friday 2 June 2023,03:00,Clear,14°,4,94%,1014 hPa
Friday 2 June 2023,03:30,Clear,13°,2,100%,1014 hPa
Friday 2 June 2023,04:00,Clear,13°,Calm,94%,1014 hPa
Friday 2 June 2023,04:30,Clear,14°,4,88%,1013 hPa
Friday 2 June 2023,05:00,Clear,14°,4,94%,1014 hPa
Friday 2 June 2023,05:30,Partly Cloudy,14°,2,88%,1014 hPa
Friday 2 June 2023,06:00,Mostly Cloudy,14°,4,88%,1014 hPa
Friday 2 June 2023,06:30,Mostly Cloudy,14°,Calm,88%,1014 hPa
Friday 2 June 2023,07:00,Mostly Cloudy,14°,4,88%,1014 hPa
Friday 2 June 2023,07:30,Partly Cloudy,14°,Calm,88%,1014 hPa
Friday 2 June 2023,08:00,Fair,14°,4,88%,1014 hPa
Friday 2 June 2023,08:30,Clear,15°,4,82%,1015 hPa
Friday 2 June 2023,09:00,Clear,15°,2,82%,1015 hPa
Friday 2 June 2023,09:30,Clear,16°,4,77%,1015 hPa
Friday 2 June 2023,10:00,Clear,17°,4,77%,1015 hPa
Friday 2 June 2023,10:30,Clear,17°,6,72%,1015 hPa
Friday 2 June 2023,11:00,Clear,19°,6,64%,1015 hPa
Friday 2 June 2023,11:30,Fair,18°,6,68%,1015 hPa
Friday 2 June 2023,12:00,Partly Cloudy,20°,6,60%,1015 hPa
Friday 2 June 2023,12:30,Partly Cloudy,20°,7,64%,1015 hPa
Friday 2 June 2023,13:00,Partly Cloudy,21°,9,60%,1015 hPa
Friday 2 June 2023,13:30,Partly Cloudy,21°,7,53%,1015 hPa
Friday 2 June 2023,14:00,Partly Cloudy,22°,7,57%,1014 hPa
Friday 2 June 2023,14:30,Partly Cloudy,22°,6,53%,1014 hPa
Friday 2 June 2023,15:00,Partly Cloudy,23°,4,53%,1013 hPa
Friday 2 June 2023,15:30,Partly Cloudy,24°,4,47%,1013 hPa
Friday 2 June 2023,16:00,Fair,24°,6,50%,1013 hPa
Friday 2 June 2023,16:30,Partly Cloudy,24°,6,41%,1012 hPa
Friday 2 June 2023,17:00,T-Storm,25°,6,44%,1012 hPa
Friday 2 June 2023,17:30,Chance of Showers,24°,6,44%,1011 hPa
Friday 2 June 2023,18:00,Light Rain,24°,4,41%,1011 hPa
Friday 2 June 2023,18:30,Light Rain,23°,15,44%,1011 hPa
Friday 2 June 2023,19:00,Light Rain,23°,13,44%,1011 hPa
Friday 2 June 2023,19:30,T-Storm,22°,13,53%,1012 hPa
Friday 2 June 2023,20:00,T-Storm,21°,15,49%,1013 hPa
Friday 2 June 2023,20:30,Light Rain,18°,15,68%,1013 hPa
Friday 2 June 2023,21:00,Light Rain,17°,11,77%,1013 hPa
Friday 2 June 2023,21:30,Light Rain,16°,4,88%,1014 hPa
Friday 2 June 2023,22:00,Light Rain,17°,4,88%,1014 hPa
Friday 2 June 2023,22:30,Partly Cloudy,16°,11,88%,1015 hPa
Friday 2 June 2023,23:00,Partly Cloudy,16°,6,88%,1015 hPa
Friday 2 June 2023,23:30,Fair,16°,7,88%,1015 hPa
Saturday 3 June 2023,00:00,Clear,16°,7,88%,1015 hPa
Saturday 3 June 2023,00:30,Clear,16°,9,88%,1015 hPa
Saturday 3 June 2023,01:00,Clear,15°,7,94%,1015 hPa
Saturday 3 June 2023,01:30,Clear,15°,6,94%,1015 hPa
Saturday 3 June 2023,02:00,Clear,15°,7,94%,1014 hPa
Saturday 3 June 2023,02:30,Clear,14°,2,100%,1015 hPa
Saturday 3 June 2023,03:00,Clear,14°,2,94%,1015 hPa
Saturday 3 June 2023,03:30,Clear,14°,4,94%,1014 hPa
Saturday 3 June 2023,04:00,Clear,14°,4,94%,1014 hPa
Saturday 3 June 2023,04:30,Clear,14°,7,94%,1014 hPa
Saturday 3 June 2023,05:00,Clear,14°,4,94%,1014 hPa
Saturday 3 June 2023,05:30,Clear,14°,Calm,94%,1014 hPa
Saturday 3 June 2023,06:00,Clear,13°,2,100%,1014 hPa
Saturday 3 June 2023,06:30,Clear,13°,6,100%,1014 hPa
Saturday 3 June 2023,07:00,Clear,13°,2,100%,1014 hPa
Saturday 3 June 2023,07:30,Clear,14°,Calm,94%,1015 hPa
Saturday 3 June 2023,08:00,Clear,14°,Calm,94%,1015 hPa
Saturday 3 June 2023,08:30,Clear,15°,4,88%,1015 hPa
Saturday 3 June 2023,09:00,Clear,15°,7,88%,1015 hPa
Saturday 3 June 2023,09:30,Fair,16°,6,88%,1015 hPa
Saturday 3 June 2023,10:00,Fair,17°,6,82%,1015 hPa
Saturday 3 June 2023,10:30,Fair,17°,4,77%,1016 hPa
Saturday 3 June 2023,11:00,Fair,19°,4,68%,1016 hPa
Saturday 3 June 2023,11:30,Fair,19°,7,68%,1015 hPa
Saturday 3 June 2023,12:00,Fair,21°,7,60%,1015 hPa
Saturday 3 June 2023,12:30,Fair,22°,7,53%,1015 hPa
Saturday 3 June 2023,13:00,Fair,22°,9,50%,1015 hPa
Saturday 3 June 2023,13:30,Fair,23°,4,47%,1015 hPa
Saturday 3 June 2023,14:00,Fair,24°,6,47%,1014 hPa
Saturday 3 June 2023,14:30,Fair,24°,4,44%,1014 hPa
Saturday 3 June 2023,15:00,Fair,25°,7,41%,1014 hPa
Saturday 3 June 2023,15:30,Partly Cloudy,25°,9,39%,1013 hPa
Saturday 3 June 2023,16:00,Partly Cloudy,26°,7,34%,1013 hPa
Saturday 3 June 2023,16:30,Fair,25°,9,36%,1013 hPa
Saturday 3 June 2023,17:00,Fair,26°,6,37%,1012 hPa
Saturday 3 June 2023,17:30,Fair,26°,4,37%,1012 hPa
Saturday 3 June 2023,18:00,Fair,26°,2,37%,1012 hPa
Saturday 3 June 2023,18:30,Fair,27°,4,34%,1012 hPa
Saturday 3 June 2023,19:00,T-Storm,27°,6,32%,1012 hPa
Saturday 3 June 2023,19:21,T-Storm,26°,6,34%,1012 hPa
Saturday 3 June 2023,19:30,T-Storm,26°,6,34%,1012 hPa
Saturday 3 June 2023,20:00,T-Storm,21°,17,>,35 56% 1013 hPa
Saturday 3 June 2023,20:30,T-Storm,20°,11,64%,1013 hPa
Saturday 3 June 2023,21:00,T-Storm,19°,19,68%,1014 hPa
Saturday 3 June 2023,21:30,Partly Cloudy,19°,11,68%,1014 hPa
Saturday 3 June 2023,22:00,Mostly Cloudy,19°,9,68%,1014 hPa
Saturday 3 June 2023,22:30,Partly Cloudy,19°,19,68%,1014 hPa
Saturday 3 June 2023,23:00,Partly Cloudy,19°,15,68%,1014 hPa
Saturday 3 June 2023,23:30,Partly Cloudy,19°,7,68%,1015 hPa
Sunday 4 June 2023,00:00,Partly Cloudy,19°,Calm,64%,1015 hPa
Sunday 4 June 2023,00:30,Partly Cloudy,18°,6,73%,1016 hPa
Sunday 4 June 2023,01:00,Fair,17°,2,77%,1016 hPa
Sunday 4 June 2023,01:30,Fair,17°,4,72%,1015 hPa
Sunday 4 June 2023,02:00,Fair,17°,2,72%,1015 hPa
Sunday 4 June 2023,02:30,Fair,17°,4,72%,1015 hPa
Sunday 4 June 2023,03:00,Fair,16°,6,82%,1015 hPa
Sunday 4 June 2023,03:30,Fair,16°,4,82%,1015 hPa
Sunday 4 June 2023,04:00,Fair,15°,Calm,88%,1014 hPa
Sunday 4 June 2023,04:30,Clear,15°,6,88%,1014 hPa
Sunday 4 June 2023,05:00,Clear,14°,4,88%,1014 hPa
Sunday 4 June 2023,05:30,Clear,14°,Calm,88%,1014 hPa
Sunday 4 June 2023,06:00,Clear,14°,4,88%,1014 hPa
Sunday 4 June 2023,06:30,Clear,14°,2,88%,1015 hPa
Sunday 4 June 2023,07:00,Clear,14°,6,94%,1015 hPa
Sunday 4 June 2023,07:30,Fair,14°,6,94%,1015 hPa
Sunday 4 June 2023,08:00,Fair,15°,6,88%,1015 hPa
Sunday 4 June 2023,08:30,Mostly Cloudy,17°,2,72%,1015 hPa
Sunday 4 June 2023,09:00,Partly Cloudy,17°,4,77%,1015 hPa
Sunday 4 June 2023,09:30,Clear,18°,4,73%,1016 hPa
Sunday 4 June 2023,10:00,Clear,19°,6,73%,1016 hPa
Sunday 4 June 2023,10:30,Clear,20°,4,64%,1016 hPa
Sunday 4 June 2023,11:00,Clear,21°,6,60%,1016 hPa
Sunday 4 June 2023,11:30,Clear,21°,6,60%,1016 hPa
Sunday 4 June 2023,12:00,Clear,22°,6,53%,1016 hPa
Sunday 4 June 2023,12:30,Clear,23°,7,50%,1016 hPa
Sunday 4 June 2023,13:00,Partly Cloudy,24°,7,47%,1015 hPa
Sunday 4 June 2023,13:30,Partly Cloudy,24°,9,50%,1015 hPa
Sunday 4 June 2023,14:00,Partly Cloudy,23°,6,50%,1015 hPa
Sunday 4 June 2023,14:30,Partly Cloudy,25°,4,44%,1015 hPa
Sunday 4 June 2023,15:00,Partly Cloudy,25°,6,44%,1014 hPa
Sunday 4 June 2023,15:30,Partly Cloudy,26°,6,39%,1014 hPa
Sunday 4 June 2023,16:00,Partly Cloudy,25°,7,44%,1014 hPa
Sunday 4 June 2023,16:30,Partly Cloudy,27°,4,37%,1014 hPa
Sunday 4 June 2023,17:00,Rain,26°,7,39%,1013 hPa
Sunday 4 June 2023,17:30,T-Storm,26°,7,39%,1013 hPa
Sunday 4 June 2023,18:00,T-Storm,25°,11,44%,1013 hPa
Sunday 4 June 2023,18:30,Light Rain,25°,7,47%,1013 hPa
Sunday 4 June 2023,19:00,T-Storm,25°,11,47%,1013 hPa
Sunday 4 June 2023,19:30,Partly Cloudy,24°,11,50%,1013 hPa
Sunday 4 June 2023,19:50,Rain,24°,9,47%,1014 hPa
Sunday 4 June 2023,20:00,Rain,24°,7,47%,1014 hPa
Sunday 4 June 2023,20:08,Rain,24°,6,47%,1014 hPa
Sunday 4 June 2023,20:13,T-Storm,24°,4,47%,1014 hPa
Sunday 4 June 2023,20:19,T-Storm,24°,4,54%,1014 hPa
Sunday 4 June 2023,20:30,T-Storm,22°,15,>,37 57% 1014 hPa
Sunday 4 June 2023,21:00,T-Storm,21°,13,69%,1015 hPa
Sunday 4 June 2023,21:30,Chance of Showers,20°,17,73%,1014 hPa
Sunday 4 June 2023,22:00,Chance of Showers,19°,4,78%,1015 hPa
Sunday 4 June 2023,22:30,Chance of Showers,19°,6,78%,1015 hPa
Sunday 4 June 2023,23:00,Fair,19°,4,78%,1016 hPa
Sunday 4 June 2023,23:30,Fair,19°,6,73%,1016 hPa
Monday 5 June 2023,00:00,Fair,18°,6,77%,1016 hPa
Monday 5 June 2023,00:30,Fair,18°,4,77%,1016 hPa
Monday 5 June 2023,01:00,Fair,17°,4,88%,1016 hPa
Monday 5 June 2023,01:30,Fair,18°,6,77%,1016 hPa
Monday 5 June 2023,02:00,Fair,17°,4,82%,1016 hPa
Monday 5 June 2023,02:30,Fair,17°,6,82%,1016 hPa
Monday 5 June 2023,03:00,Clear,17°,6,88%,1016 hPa
Monday 5 June 2023,03:30,Clear,16°,4,94%,1016 hPa
Monday 5 June 2023,04:00,Clear,16°,7,88%,1016 hPa
Monday 5 June 2023,04:30,Clear,16°,2,88%,1016 hPa
Monday 5 June 2023,05:00,Clear,16°,Calm,88%,1016 hPa
Monday 5 June 2023,05:30,Clear,16°,6,88%,1016 hPa
Monday 5 June 2023,06:00,Clear,15°,6,88%,1016 hPa
Monday 5 June 2023,06:30,Clear,15°,4,88%,1016 hPa
Monday 5 June 2023,07:00,Clear,15°,4,88%,1016 hPa
Monday 5 June 2023,07:30,Clear,15°,4,88%,1016 hPa
Monday 5 June 2023,08:00,Clear,16°,2,82%,1016 hPa
Monday 5 June 2023,08:30,Clear,17°,2,82%,1016 hPa
Monday 5 June 2023,09:00,Clear,17°,6,77%,1016 hPa
Monday 5 June 2023,09:30,Clear,19°,4,73%,1016 hPa
Monday 5 June 2023,10:00,Clear,19°,2,73%,1016 hPa
Monday 5 June 2023,10:30,Clear,20°,4,68%,1016 hPa
Monday 5 June 2023,11:00,Clear,21°,6,64%,1016 hPa
Monday 5 June 2023,11:30,Clear,22°,4,60%,1016 hPa
Monday 5 June 2023,12:00,Clear,23°,4,57%,1016 hPa
Monday 5 June 2023,12:30,Fair,24°,6,54%,1016 hPa
Monday 5 June 2023,13:00,Fair,24°,7,50%,1015 hPa
Monday 5 June 2023,13:30,Fair,26°,6,48%,1015 hPa
Monday 5 June 2023,14:00,Fair,26°,9,42%,1015 hPa
Monday 5 June 2023,14:30,Partly Cloudy,26°,7,39%,1014 hPa
Monday 5 June 2023,15:00,Partly Cloudy,27°,7,37%,1014 hPa
Monday 5 June 2023,15:30,Partly Cloudy,25°,22,47%,1014 hPa
Monday 5 June 2023,16:00,Partly Cloudy,26°,19,42%,1014 hPa
Monday 5 June 2023,16:30,Partly Cloudy,26°,7,42%,1013 hPa
Monday 5 June 2023,17:00,T-Storm,26°,13,45%,1013 hPa
Monday 5 June 2023,17:30,Chance of Showers,26°,15,42%,1013 hPa
Monday 5 June 2023,18:00,Chance of Showers,26°,6,42%,1014 hPa
Monday 5 June 2023,18:30,Chance of Showers,24°,33,54%,1014 hPa
Monday 5 June 2023,18:44,Rain,22°,28,69%,1014 hPa
Monday 5 June 2023,19:00,Light Rain,20°,26,68%,1014 hPa
Monday 5 June 2023,19:30,T-Storm,20°,22,73%,1014 hPa
Monday 5 June 2023,20:00,T-Storm,19°,11,78%,1015 hPa
Monday 5 June 2023,20:30,T-Storm,19°,7,83%,1015 hPa
Monday 5 June 2023,21:00,Partly Cloudy,19°,2,83%,1015 hPa
Monday 5 June 2023,21:30,Partly Cloudy,18°,6,83%,1016 hPa
Monday 5 June 2023,22:00,Partly Cloudy,18°,6,83%,1016 hPa
