Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Sunday 1 October 2023,00:00,Clear,20°,4,73%,1025 hPa
Sunday 1 October 2023,00:30,Clear,19°,6,78%,1025 hPa
Sunday 1 October 2023,01:00,Clear,19°,6,78%,1025 hPa
Sunday 1 October 2023,01:30,Clear,19°,6,73%,1025 hPa
Sunday 1 October 2023,02:00,Clear,18°,6,77%,1025 hPa
Sunday 1 October 2023,02:30,Clear,18°,7,77%,1025 hPa
Sunday 1 October 2023,03:00,Clear,17°,7,77%,1025 hPa
Sunday 1 October 2023,03:30,Clear,17°,7,77%,1025 hPa
Sunday 1 October 2023,04:00,Clear,16°,6,82%,1025 hPa
Sunday 1 October 2023,04:30,Clear,16°,6,82%,1025 hPa
Sunday 1 October 2023,05:00,Clear,15°,4,88%,1025 hPa
Sunday 1 October 2023,05:30,Clear,15°,6,88%,1025 hPa
Sunday 1 October 2023,06:00,Clear,15°,7,82%,1025 hPa
Sunday 1 October 2023,06:30,Clear,15°,7,82%,1025 hPa
Sunday 1 October 2023,07:00,Clear,15°,6,82%,1025 hPa
Sunday 1 October 2023,07:30,Clear,14°,4,82%,1025 hPa
Sunday 1 October 2023,08:00,Clear,13°,4,94%,1025 hPa
Sunday 1 October 2023,08:30,Clear,13°,4,88%,1025 hPa
Sunday 1 October 2023,09:00,Clear,15°,4,82%,1026 hPa
Sunday 1 October 2023,09:30,Clear,16°,2,77%,1026 hPa
Sunday 1 October 2023,10:00,Clear,17°,2,72%,1026 hPa
Sunday 1 October 2023,10:30,Clear,18°,2,68%,1026 hPa
Sunday 1 October 2023,11:00,Clear,20°,4,64%,1026 hPa
Sunday 1 October 2023,11:30,Clear,22°,2,57%,1026 hPa
Sunday 1 October 2023,12:00,Clear,24°,Calm,54%,1026 hPa
Sunday 1 October 2023,12:30,Clear,26°,2,51%,1026 hPa
Sunday 1 October 2023,13:00,Clear,27°,4,42%,1026 hPa
Sunday 1 October 2023,13:30,Clear,28°,4,40%,1026 hPa
Sunday 1 October 2023,14:00,Clear,29°,2,31%,1025 hPa
Sunday 1 October 2023,14:30,Clear,30°,Calm,33%,1025 hPa
Sunday 1 October 2023,15:00,Clear,30°,2,29%,1025 hPa
Sunday 1 October 2023,15:30,Clear,31°,2,26%,1024 hPa
Sunday 1 October 2023,16:00,Clear,31°,Calm,29%,1024 hPa
Sunday 1 October 2023,16:30,Clear,31°,2,27%,1023 hPa
Sunday 1 October 2023,17:00,Clear,32°,7,28%,1023 hPa
Sunday 1 October 2023,17:30,Clear,33°,4,23%,1023 hPa
Sunday 1 October 2023,18:00,Clear,32°,6,28%,1023 hPa
Sunday 1 October 2023,18:30,Clear,32°,4,23%,1023 hPa
Sunday 1 October 2023,19:00,Clear,32°,6,23%,1022 hPa
Sunday 1 October 2023,19:30,Clear,29°,4,31%,1022 hPa
Sunday 1 October 2023,20:00,Clear,26°,2,37%,1022 hPa
Sunday 1 October 2023,20:30,Clear,24°,6,44%,1022 hPa
Sunday 1 October 2023,21:00,Clear,25°,4,41%,1022 hPa
Sunday 1 October 2023,21:30,Clear,24°,4,47%,1023 hPa
Sunday 1 October 2023,22:00,Clear,23°,6,50%,1023 hPa
Sunday 1 October 2023,22:30,Clear,21°,9,60%,1023 hPa
Sunday 1 October 2023,23:00,Clear,20°,7,64%,1023 hPa
Sunday 1 October 2023,23:30,Clear,20°,6,60%,1023 hPa
Monday 2 October 2023,00:00,Clear,20°,4,60%,1024 hPa
Monday 2 October 2023,00:30,Clear,19°,7,64%,1024 hPa
Monday 2 October 2023,01:00,Clear,18°,6,68%,1024 hPa
Monday 2 October 2023,01:30,Clear,17°,4,72%,1024 hPa
Monday 2 October 2023,02:00,Clear,17°,Calm,72%,1024 hPa
Monday 2 October 2023,02:30,Clear,17°,6,72%,1024 hPa
Monday 2 October 2023,03:00,Clear,16°,6,77%,1024 hPa
Monday 2 October 2023,03:30,Clear,16°,6,72%,1024 hPa
Monday 2 October 2023,04:00,Clear,16°,9,72%,1024 hPa
Monday 2 October 2023,04:30,Clear,15°,9,77%,1024 hPa
Monday 2 October 2023,05:00,Clear,15°,9,72%,1023 hPa
Monday 2 October 2023,05:30,Clear,15°,9,72%,1023 hPa
Monday 2 October 2023,06:00,Clear,14°,4,77%,1023 hPa
Monday 2 October 2023,06:30,Clear,14°,6,77%,1023 hPa
Monday 2 October 2023,07:00,Clear,14°,4,77%,1023 hPa
Monday 2 October 2023,07:30,Clear,14°,4,77%,1024 hPa
Monday 2 October 2023,08:00,Clear,13°,6,77%,1024 hPa
Monday 2 October 2023,08:30,Clear,13°,4,82%,1024 hPa
Monday 2 October 2023,09:00,Clear,14°,4,77%,1024 hPa
Monday 2 October 2023,09:30,Clear,15°,6,77%,1025 hPa
Monday 2 October 2023,10:00,Clear,16°,4,68%,1025 hPa
Monday 2 October 2023,10:30,Clear,18°,6,68%,1025 hPa
Monday 2 October 2023,11:00,Clear,19°,6,60%,1025 hPa
Monday 2 October 2023,11:30,Clear,21°,6,53%,1025 hPa
Monday 2 October 2023,12:00,Clear,23°,2,50%,1025 hPa
Monday 2 October 2023,12:30,Clear,24°,2,47%,1025 hPa
Monday 2 October 2023,13:00,Clear,26°,4,39%,1024 hPa
Monday 2 October 2023,13:30,Clear,27°,Calm,32%,1024 hPa
Monday 2 October 2023,14:00,Clear,28°,4,30%,1024 hPa
Monday 2 October 2023,14:30,Clear,28°,2,35%,1024 hPa
Monday 2 October 2023,15:00,Clear,29°,2,31%,1023 hPa
Monday 2 October 2023,15:30,Clear,29°,6,33%,1023 hPa
Monday 2 October 2023,16:00,Clear,29°,7,31%,1023 hPa
Monday 2 October 2023,16:30,Clear,30°,7,29%,1022 hPa
Monday 2 October 2023,17:00,Clear,31°,2,27%,1022 hPa
Monday 2 October 2023,17:30,Clear,30°,6,25%,1022 hPa
Monday 2 October 2023,18:00,Clear,31°,6,22%,1022 hPa
Monday 2 October 2023,18:30,Clear,30°,6,25%,1022 hPa
Monday 2 October 2023,19:00,Clear,30°,7,27%,1022 hPa
Monday 2 October 2023,19:30,Clear,28°,6,37%,1022 hPa
Monday 2 October 2023,20:00,Clear,26°,4,37%,1022 hPa
Monday 2 October 2023,20:30,Clear,26°,4,37%,1022 hPa
Monday 2 October 2023,21:00,Clear,23°,Calm,47%,1023 hPa
Monday 2 October 2023,21:30,Clear,24°,Calm,41%,1023 hPa
Monday 2 October 2023,22:00,Clear,22°,7,50%,1023 hPa
Monday 2 October 2023,22:30,Clear,21°,6,60%,1023 hPa
Monday 2 October 2023,23:00,Clear,20°,7,60%,1024 hPa
Monday 2 October 2023,23:30,Clear,20°,9,60%,1024 hPa
Tuesday 3 October 2023,00:00,Clear,19°,9,64%,1024 hPa
Tuesday 3 October 2023,00:30,Clear,19°,6,64%,1024 hPa
Tuesday 3 October 2023,01:00,Clear,18°,6,68%,1024 hPa
Tuesday 3 October 2023,01:30,Clear,17°,6,72%,1024 hPa
Tuesday 3 October 2023,02:00,Clear,17°,6,68%,1024 hPa
Tuesday 3 October 2023,02:30,Clear,17°,6,68%,1024 hPa
Tuesday 3 October 2023,03:00,Clear,16°,6,72%,1024 hPa
Tuesday 3 October 2023,03:30,Clear,16°,4,72%,1024 hPa
Tuesday 3 October 2023,04:00,Clear,16°,6,72%,1024 hPa
Tuesday 3 October 2023,04:30,Clear,15°,4,77%,1024 hPa
Tuesday 3 October 2023,05:00,Clear,15°,4,77%,1024 hPa
Tuesday 3 October 2023,05:30,Clear,14°,6,82%,1024 hPa
Tuesday 3 October 2023,06:00,Clear,14°,6,77%,1024 hPa
Tuesday 3 October 2023,06:30,Clear,14°,6,77%,1024 hPa
Tuesday 3 October 2023,07:00,Clear,14°,9,77%,1024 hPa
Tuesday 3 October 2023,07:30,Clear,13°,4,82%,1024 hPa
Tuesday 3 October 2023,08:00,Clear,13°,2,82%,1024 hPa
Tuesday 3 October 2023,08:30,Clear,13°,Calm,82%,1025 hPa
Tuesday 3 October 2023,09:00,Clear,14°,4,77%,1025 hPa
Tuesday 3 October 2023,09:30,Clear,14°,4,82%,1025 hPa
Tuesday 3 October 2023,10:00,Clear,16°,4,72%,1025 hPa
Tuesday 3 October 2023,10:30,Clear,18°,Calm,64%,1026 hPa
Tuesday 3 October 2023,11:00,Clear,18°,4,64%,1026 hPa
Tuesday 3 October 2023,11:30,Clear,20°,4,60%,1026 hPa
Tuesday 3 October 2023,12:00,Clear,22°,2,53%,1026 hPa
Tuesday 3 October 2023,12:30,Clear,23°,2,53%,1026 hPa
Tuesday 3 October 2023,13:00,Clear,25°,2,47%,1026 hPa
Tuesday 3 October 2023,13:30,Clear,26°,2,42%,1026 hPa
Tuesday 3 October 2023,14:00,Clear,26°,2,45%,1025 hPa
Tuesday 3 October 2023,14:30,Clear,27°,4,42%,1025 hPa
Tuesday 3 October 2023,15:00,Clear,28°,4,37%,1025 hPa
Tuesday 3 October 2023,15:30,Clear,28°,4,40%,1024 hPa
Tuesday 3 October 2023,16:00,Clear,29°,Calm,27%,1024 hPa
Tuesday 3 October 2023,16:30,Clear,29°,2,33%,1024 hPa
Tuesday 3 October 2023,17:00,Clear,30°,9,27%,1024 hPa
Tuesday 3 October 2023,17:30,Clear,31°,4,27%,1024 hPa
Tuesday 3 October 2023,18:00,Clear,29°,7,35%,1024 hPa
Tuesday 3 October 2023,18:30,Clear,30°,9,29%,1023 hPa
Tuesday 3 October 2023,19:00,Clear,30°,9,27%,1024 hPa
Tuesday 3 October 2023,19:30,Clear,29°,6,31%,1024 hPa
Tuesday 3 October 2023,20:00,Clear,26°,6,39%,1024 hPa
Tuesday 3 October 2023,20:30,Clear,27°,7,37%,1024 hPa
Tuesday 3 October 2023,21:00,Clear,24°,2,44%,1024 hPa
Tuesday 3 October 2023,21:30,Clear,22°,Calm,50%,1024 hPa
Tuesday 3 October 2023,22:00,Clear,23°,6,50%,1025 hPa
Tuesday 3 October 2023,22:30,Clear,22°,6,53%,1025 hPa
Tuesday 3 October 2023,23:00,Clear,21°,4,60%,1025 hPa
Tuesday 3 October 2023,23:30,Clear,20°,4,68%,1025 hPa
Wednesday 4 October 2023,00:00,Clear,19°,6,68%,1026 hPa
Wednesday 4 October 2023,00:30,Clear,19°,4,68%,1026 hPa
Wednesday 4 October 2023,01:00,Clear,19°,7,68%,1026 hPa
Wednesday 4 October 2023,01:30,Clear,18°,11,73%,1026 hPa
Wednesday 4 October 2023,02:00,Clear,19°,9,68%,1026 hPa
Wednesday 4 October 2023,02:30,Clear,18°,7,68%,1026 hPa
Wednesday 4 October 2023,03:00,Clear,18°,6,68%,1026 hPa
Wednesday 4 October 2023,03:30,Clear,17°,2,77%,1026 hPa
Wednesday 4 October 2023,04:00,Clear,16°,Calm,77%,1026 hPa
Wednesday 4 October 2023,04:30,Clear,16°,4,82%,1026 hPa
Wednesday 4 October 2023,05:00,Clear,16°,Calm,82%,1026 hPa
Wednesday 4 October 2023,05:30,Clear,16°,Calm,82%,1026 hPa
Wednesday 4 October 2023,06:00,Clear,16°,Calm,82%,1026 hPa
Wednesday 4 October 2023,06:30,Clear,15°,2,82%,1026 hPa
Wednesday 4 October 2023,07:00,Clear,15°,6,82%,1026 hPa
Wednesday 4 October 2023,07:30,Clear,14°,4,88%,1026 hPa
Wednesday 4 October 2023,08:00,Clear,14°,2,82%,1027 hPa
Wednesday 4 October 2023,08:30,Clear,14°,2,82%,1027 hPa
Wednesday 4 October 2023,09:00,Clear,14°,Calm,88%,1027 hPa
