Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Friday 1 September 2023,00:00,Clear,24°,Calm,31%,1017 hPa
Friday 1 September 2023,00:30,Clear,24°,4,31%,1017 hPa
Friday 1 September 2023,01:00,Clear,23°,7,33%,1017 hPa
Friday 1 September 2023,01:30,Clear,22°,4,35%,1017 hPa
Friday 1 September 2023,02:00,Clear,21°,6,35%,1017 hPa
Friday 1 September 2023,02:30,Clear,21°,6,35%,1017 hPa
Friday 1 September 2023,03:00,Clear,21°,7,35%,1017 hPa
Friday 1 September 2023,03:30,Clear,20°,7,35%,1017 hPa
Friday 1 September 2023,04:00,Clear,19°,2,37%,1017 hPa
Friday 1 September 2023,04:30,Clear,18°,4,39%,1017 hPa
Friday 1 September 2023,05:00,Clear,18°,6,42%,1016 hPa
Friday 1 September 2023,05:30,Clear,18°,4,42%,1017 hPa
Friday 1 September 2023,06:00,Clear,17°,6,45%,1017 hPa
Friday 1 September 2023,06:30,Clear,17°,6,45%,1017 hPa
Friday 1 September 2023,07:00,Clear,17°,6,45%,1017 hPa
Friday 1 September 2023,07:30,Clear,17°,9,42%,1017 hPa
Friday 1 September 2023,08:00,Clear,16°,7,48%,1017 hPa
Friday 1 September 2023,08:30,Clear,17°,6,45%,1017 hPa
Friday 1 September 2023,09:00,Clear,18°,6,42%,1017 hPa
Friday 1 September 2023,09:30,Clear,20°,6,40%,1018 hPa
Friday 1 September 2023,10:00,Clear,21°,4,40%,1018 hPa
Friday 1 September 2023,10:30,Clear,23°,4,44%,1018 hPa
Friday 1 September 2023,11:00,Clear,24°,6,47%,1018 hPa
Friday 1 September 2023,11:30,Clear,26°,6,42%,1018 hPa
Friday 1 September 2023,12:00,Clear,27°,7,37%,1018 hPa
Friday 1 September 2023,12:30,Clear,27°,7,34%,1018 hPa
Friday 1 September 2023,13:00,Clear,29°,9,31%,1017 hPa
Friday 1 September 2023,13:30,Clear,30°,6,27%,1017 hPa
Friday 1 September 2023,14:00,Clear,31°,11,24%,1016 hPa
Friday 1 September 2023,14:30,Clear,31°,15,26%,1016 hPa
Friday 1 September 2023,15:00,Clear,31°,17,>,35 24% 1016 hPa
Friday 1 September 2023,15:30,Clear,31°,22,>,54 26% 1015 hPa
Friday 1 September 2023,16:00,Fair,33°,28,23%,1015 hPa
Friday 1 September 2023,16:30,Fair,32°,22,24%,1014 hPa
